fpts,fpts_ci,rank_overall,rank_pos,rush_att,rush_yd,rush_td,rec_rcpt,rec_tgt,rec_yd,rec_td,player,team,pos,source,source_url,fpts_halfppr_adjust
7.255000000000001,-7.96-18.6,#363,#69,0.0,0.0,0.0,3.87,5.53,37.13,0.28,Kenny Yeboah,NYJ,te,NumberFire,https://www.numberfire.com/nfl/fantasy/remaining-projections/te,True
7.195,-8.04-18.5,#365,#70,0.0,0.0,0.0,3.93,5.53,36.98,0.26,Anthony Firkser,NYJ,te,NumberFire,https://www.numberfire.com/nfl/fantasy/remaining-projections/te,True
7.180000000000001,-8.08-18.46,#367,#71,0.0,0.0,0.0,3.98,5.9,38.9,0.17,John Bates,WSH,te,NumberFire,https://www.numberfire.com/nfl/fantasy/remaining-projections/te,True
6.975,-8.09-18.45,#368,#72,0.0,0.0,0.0,3.59,5.49,36.12,0.27,Andrew Ogletree,IND,te,NumberFire,https://www.numberfire.com/nfl/fantasy/remaining-projections/te,True
6.96,-8.17-18.35,#369,#73,0.0,0.0,0.0,3.74,5.6,36.16,0.26,Grant Calcaterra,PHI,te,NumberFire,https://www.numberfire.com/nfl/fantasy/remaining-projections/te,True
6.625,-8.25-18.25,#372,#74,0.0,0.0,0.0,3.25,5.04,33.89,0.27,Miller Forristall,LA,te,NumberFire,https://www.numberfire.com/nfl/fantasy/remaining-projections/te,True
6.63,-8.31-18.17,#374,#75,0.0,0.0,0.0,3.4,4.92,33.51,0.28,MyCole Pruitt,PIT,te,NumberFire,https://www.numberfire.com/nfl/fantasy/remaining-projections/te,True
6.615,-8.38-18.1,#377,#76,0.0,0.0,0.0,3.51,5.35,35.83,0.17,Nick Vannett,TEN,te,NumberFire,https://www.numberfire.com/nfl/fantasy/remaining-projections/te,True
6.295,-8.65-17.79,#383,#77,0.0,0.0,0.0,3.45,5.27,31.08,0.25,Harrison Bryant,LV,te,NumberFire,https://www.numberfire.com/nfl/fantasy/remaining-projections/te,True
6.239999999999999,-8.66-17.78,#384,#78,0.0,0.0,0.0,3.36,4.92,31.12,0.21,Connor Heyward,PIT,te,NumberFire,https://www.numberfire.com/nfl/fantasy/remaining-projections/te,True
6.335,-8.68-17.76,#385,#79,0.0,0.0,0.0,3.59,5.39,33.39,0.17,Elijah Higgins,ARI,te,NumberFire,https://www.numberfire.com/nfl/fantasy/remaining-projections/te,True
6.27,-8.73-17.67,#386,#80,0.0,0.0,0.0,3.6,5.38,32.22,0.24,Johnny Mundt,MIN,te,NumberFire,https://www.numberfire.com/nfl/fantasy/remaining-projections/te,True
4.32,-9.86-16.34,#417,#81,0.0,0.0,0.0,2.16,3.13,22.54,0.2,Charlie Kolar,BAL,te,NumberFire,https://www.numberfire.com/nfl/fantasy/remaining-projections/te,True
4.26,-9.88-16.32,#418,#82,0.0,0.0,0.0,2.08,3.09,21.53,0.17,Quintin Morris,BUF,te,NumberFire,https://www.numberfire.com/nfl/fantasy/remaining-projections/te,True
4.165,-9.94-16.24,#423,#83,0.0,0.0,0.0,2.03,2.98,22.35,0.17,Teagan Quitoriano,HOU,te,NumberFire,https://www.numberfire.com/nfl/fantasy/remaining-projections/te,True
4.1,-10.02-16.16,#429,#84,0.0,0.0,0.0,2.06,3.09,20.43,0.17,Tre' McKitty,BUF,te,NumberFire,https://www.numberfire.com/nfl/fantasy/remaining-projections/te,True
4.04,-10.06-16.1,#434,#85,0.0,0.0,0.0,2.04,2.98,21.29,0.17,Dalton Keene,HOU,te,NumberFire,https://www.numberfire.com/nfl/fantasy/remaining-projections/te,True
4.015,-10.07-16.07,#435,#86,0.0,0.0,0.0,2.03,3.01,20.02,0.17,Shane Zylstra,DET,te,NumberFire,https://www.numberfire.com/nfl/fantasy/remaining-projections/te,True
3.99,-10.1-16.04,#437,#87,0.0,0.0,0.0,2.04,2.97,19.97,0.17,Ben Sims,GB,te,NumberFire,https://www.numberfire.com/nfl/fantasy/remaining-projections/te,True
3.89,-10.12-16.02,#438,#88,0.0,0.0,0.0,1.88,2.93,19.74,0.17,Hunter Long,LA,te,NumberFire,https://www.numberfire.com/nfl/fantasy/remaining-projections/te,True
3.95,-10.14-16,#441,#89,0.0,0.0,0.0,2.04,2.97,19.9,0.17,Tyler Davis,GB,te,NumberFire,https://www.numberfire.com/nfl/fantasy/remaining-projections/te,True
3.7649999999999997,-10.31-15.83,#452,#90,0.0,0.0,0.0,2.01,2.87,19.53,0.17,Tommy Hudson,NO,te,NumberFire,https://www.numberfire.com/nfl/fantasy/remaining-projections/te,True
3.76,-10.33-15.79,#457,#91,0.0,0.0,0.0,2.06,3.0,19.17,0.17,Julian Hill,MIA,te,NumberFire,https://www.numberfire.com/nfl/fantasy/remaining-projections/te,True
3.7199999999999998,-10.33-15.79,#457,#91,0.0,0.0,0.0,1.98,2.89,18.96,0.17,Brady Russell,SEA,te,NumberFire,https://www.numberfire.com/nfl/fantasy/remaining-projections/te,True
3.725,-10.34-15.78,#459,#93,0.0,0.0,0.0,2.01,2.95,19.99,0.16,Armani Rogers,WSH,te,NumberFire,https://www.numberfire.com/nfl/fantasy/remaining-projections/te,True
3.685,-10.34-15.78,#459,#93,0.0,0.0,0.0,1.93,2.84,18.95,0.17,Payne Durham,TB,te,NumberFire,https://www.numberfire.com/nfl/fantasy/remaining-projections/te,True
3.75,-10.38-15.74,#466,#95,0.0,0.0,0.0,2.14,2.98,18.98,0.17,Luke Farrell,JAC,te,NumberFire,https://www.numberfire.com/nfl/fantasy/remaining-projections/te,True
3.635,-10.4-15.7,#470,#96,0.0,0.0,0.0,1.97,2.95,19.67,0.16,Cole Turner,WSH,te,NumberFire,https://www.numberfire.com/nfl/fantasy/remaining-projections/te,True
3.59,-10.41-15.69,#471,#97,0.0,0.0,0.0,1.9,2.75,18.26,0.17,Zack Kuntz,NYJ,te,NumberFire,https://www.numberfire.com/nfl/fantasy/remaining-projections/te,True
3.665,-10.42-15.68,#473,#98,0.0,0.0,0.0,2.07,2.98,18.24,0.17,Brenton Strange,JAC,te,NumberFire,https://www.numberfire.com/nfl/fantasy/remaining-projections/te,True
3.5599999999999996,-10.43-15.65,#474,#99,0.0,0.0,0.0,1.9,2.75,18.13,0.17,Jeremy Ruckert,NYJ,te,NumberFire,https://www.numberfire.com/nfl/fantasy/remaining-projections/te,True
3.5149999999999997,-10.47-15.61,#479,#100,0.0,0.0,0.0,1.89,2.82,17.91,0.17,Albert Okwuegbunam,PHI,te,NumberFire,https://www.numberfire.com/nfl/fantasy/remaining-projections/te,True
3.4699999999999998,-10.49-15.59,#481,#101,0.0,0.0,0.0,1.84,2.73,17.61,0.17,Eric Tomlinson,IND,te,NumberFire,https://www.numberfire.com/nfl/fantasy/remaining-projections/te,True
3.38,-10.53-15.53,#488,#102,0.0,0.0,0.0,1.76,2.67,18.23,0.17,Josh Whyle,TEN,te,NumberFire,https://www.numberfire.com/nfl/fantasy/remaining-projections/te,True
3.245,-10.64-15.42,#496,#103,0.0,0.0,0.0,1.71,2.67,16.8,0.17,Cole Fotheringham,LV,te,NumberFire,https://www.numberfire.com/nfl/fantasy/remaining-projections/te,True
3.1799999999999997,-10.69-15.37,#498,#104,0.0,0.0,0.0,1.68,2.45,15.93,0.17,Rodney Williams,PIT,te,NumberFire,https://www.numberfire.com/nfl/fantasy/remaining-projections/te,True
3.17,-10.73-15.33,#499,#105,0.0,0.0,0.0,1.74,2.67,15.93,0.17,Zach Gentry,LV,te,NumberFire,https://www.numberfire.com/nfl/fantasy/remaining-projections/te,True
3.17,-10.77-15.29,#501,#106,0.0,0.0,0.0,1.82,2.66,17.52,0.06,Mitchell Wilcox,NE,te,NumberFire,https://www.numberfire.com/nfl/fantasy/remaining-projections/te,True
3.195,-10.78-15.28,#502,#107,0.0,0.0,0.0,1.89,2.68,16.63,0.12,Chris Manhertz,NYG,te,NumberFire,https://www.numberfire.com/nfl/fantasy/remaining-projections/te,True
3.1100000000000003,-10.79-15.27,#503,#108,0.0,0.0,0.0,1.74,2.64,16.2,0.16,Nate Adkins,DEN,te,NumberFire,https://www.numberfire.com/nfl/fantasy/remaining-projections/te,True
0.0,-12.82-12.82,#507,#109,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Stephen Carlson,CHI,te,NumberFire,https://www.numberfire.com/nfl/fantasy/remaining-projections/te,True
0.0,-12.82-12.82,#507,#109,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Jake Tonges,SF,te,NumberFire,https://www.numberfire.com/nfl/fantasy/remaining-projections/te,True
0.0,-12.82-12.82,#507,#109,0.0,0.0,0.0,0.0,0.0,0.0,0.0,John FitzPatrick,ATL,te,NumberFire,https://www.numberfire.com/nfl/fantasy/remaining-projections/te,True
0.0,-12.82-12.82,#507,#109,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Brayden Willis,SF,te,NumberFire,https://www.numberfire.com/nfl/fantasy/remaining-projections/te,True
0.0,-12.82-12.82,#507,#109,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Nick Muse,MIN,te,NumberFire,https://www.numberfire.com/nfl/fantasy/remaining-projections/te,True
