fpts,fpts_ci,rank_overall,rank_pos,rush_att,rush_yd,rush_td,rec_rcpt,rec_tgt,rec_yd,rec_td,player,team,pos,source,source_url,fpts_halfppr_adjust
44.0,18.17-49.61,#247,#104,0.0,0.0,0.0,20.22,34.67,268.46,1.22,Treylon Burks,TEN,wr,NumberFire,https://www.numberfire.com/nfl/fantasy/remaining-projections/wr,True
46.14,17.89-49.27,#249,#105,2.48,14.31,0.11,25.12,40.23,243.94,1.27,Greg Dortch,ARI,wr,NumberFire,https://www.numberfire.com/nfl/fantasy/remaining-projections/wr,True
44.415,17.47-48.77,#250,#106,0.0,0.0,0.0,22.59,36.97,270.39,1.08,K.J. Osborn,NE,wr,NumberFire,https://www.numberfire.com/nfl/fantasy/remaining-projections/wr,True
42.075,17.4-48.68,#251,#107,0.0,0.0,0.0,18.07,28.49,246.73,1.45,Khadarel Hodge,ATL,wr,NumberFire,https://www.numberfire.com/nfl/fantasy/remaining-projections/wr,True
40.470000000000006,16.98-48.2,#253,#108,4.58,26.07,0.24,15.76,27.16,194.3,1.66,KaVontae Turpin,DAL,wr,NumberFire,https://www.numberfire.com/nfl/fantasy/remaining-projections/wr,True
40.205,16.41-47.51,#254,#109,2.31,13.1,0.15,16.49,29.27,219.73,1.4,Tutu Atwell,LA,wr,NumberFire,https://www.numberfire.com/nfl/fantasy/remaining-projections/wr,True
40.775,15.68-46.64,#255,#110,0.0,0.0,0.0,19.23,32.52,209.83,1.79,Andrei Iosivas,CIN,wr,NumberFire,https://www.numberfire.com/nfl/fantasy/remaining-projections/wr,True
40.765,14.73-45.53,#256,#111,0.0,0.0,0.0,21.27,31.69,249.94,0.93,JuJu Smith-Schuster,NE,wr,NumberFire,https://www.numberfire.com/nfl/fantasy/remaining-projections/wr,True
38.76,13.54-44.1,#258,#112,0.0,0.0,0.0,19.88,35.25,227.63,1.04,Jonathan Mingo,CAR,wr,NumberFire,https://www.numberfire.com/nfl/fantasy/remaining-projections/wr,True
34.53,11.43-41.61,#261,#113,0.0,0.0,0.0,16.02,25.72,201.87,1.1,A.T. Perry,NO,wr,NumberFire,https://www.numberfire.com/nfl/fantasy/remaining-projections/wr,True
35.12,11.08-41.18,#262,#114,0.0,0.0,0.0,17.98,29.75,190.41,1.27,Parker Washington,JAC,wr,NumberFire,https://www.numberfire.com/nfl/fantasy/remaining-projections/wr,True
30.265,8.65-38.31,#265,#115,0.0,0.0,0.0,13.57,21.04,187.46,0.92,Kalif Raymond,DET,wr,NumberFire,https://www.numberfire.com/nfl/fantasy/remaining-projections/wr,True
26.53,5.99-35.15,#272,#116,0.0,0.0,0.0,11.92,19.31,144.9,0.99,Allen Lazard,NYJ,wr,NumberFire,https://www.numberfire.com/nfl/fantasy/remaining-projections/wr,True
24.96,5.11-34.11,#274,#117,0.0,0.0,0.0,10.7,17.78,152.89,0.75,Noah Brown,HOU,wr,NumberFire,https://www.numberfire.com/nfl/fantasy/remaining-projections/wr,True
21.45,2.05-30.49,#285,#118,0.0,0.0,0.0,10.36,17.36,118.33,0.78,Jake Bobo,SEA,wr,NumberFire,https://www.numberfire.com/nfl/fantasy/remaining-projections/wr,True
20.955,2.01-30.43,#286,#119,0.0,0.0,0.0,9.47,16.82,123.15,0.65,DeVante Parker,PHI,wr,NumberFire,https://www.numberfire.com/nfl/fantasy/remaining-projections/wr,True
20.315,1.86-30.24,#288,#120,4.77,27.22,0.17,8.53,13.76,93.81,0.59,Xavier Gipson,NYJ,wr,NumberFire,https://www.numberfire.com/nfl/fantasy/remaining-projections/wr,True
20.745,1.32-29.6,#289,#121,0.0,0.0,0.0,10.57,17.35,124.93,0.65,Alex Erickson,LAC,wr,NumberFire,https://www.numberfire.com/nfl/fantasy/remaining-projections/wr,True
19.61,0.92-29.12,#290,#122,0.0,0.0,0.0,9.18,16.02,115.81,0.62,Kyle Philips,TEN,wr,NumberFire,https://www.numberfire.com/nfl/fantasy/remaining-projections/wr,True
17.78,0.03-28.09,#292,#123,4.74,27.61,0.22,7.44,11.41,71.76,0.61,Ray-Ray McCloud,ATL,wr,NumberFire,https://www.numberfire.com/nfl/fantasy/remaining-projections/wr,True
17.235,-0.11-27.91,#293,#124,4.34,24.88,0.2,6.67,11.59,73.62,0.5,D'Wayne Eskridge,SEA,wr,NumberFire,https://www.numberfire.com/nfl/fantasy/remaining-projections/wr,True
16.885,-0.2-27.8,#295,#125,0.0,0.0,0.0,6.17,12.41,98.24,0.64,Marquez Valdes-Scantling,BUF,wr,NumberFire,https://www.numberfire.com/nfl/fantasy/remaining-projections/wr,True
17.71,-0.36-27.62,#296,#126,0.0,0.0,0.0,8.16,13.49,94.27,0.74,Jauan Jennings,SF,wr,NumberFire,https://www.numberfire.com/nfl/fantasy/remaining-projections/wr,True
17.485,-0.38-27.58,#297,#127,4.53,25.72,0.19,7.77,11.92,72.33,0.49,Devin Duvernay,JAC,wr,NumberFire,https://www.numberfire.com/nfl/fantasy/remaining-projections/wr,True
16.83,-0.62-27.3,#299,#128,0.0,0.0,0.0,6.98,12.05,99.31,0.58,Justin Watson,KC,wr,NumberFire,https://www.numberfire.com/nfl/fantasy/remaining-projections/wr,True
17.450000000000003,-0.88-26.98,#300,#129,0.0,0.0,0.0,8.8,14.2,92.91,0.62,Sterling Shepard,TB,wr,NumberFire,https://www.numberfire.com/nfl/fantasy/remaining-projections/wr,True
14.790000000000001,-1.03-26.81,#301,#130,9.0,51.41,0.4,3.8,6.01,39.38,0.34,Kadarius Toney,KC,wr,NumberFire,https://www.numberfire.com/nfl/fantasy/remaining-projections/wr,True
15.345,-1.87-25.81,#305,#131,0.0,0.0,0.0,6.75,12.41,80.41,0.64,Chase Claypool,BUF,wr,NumberFire,https://www.numberfire.com/nfl/fantasy/remaining-projections/wr,True
15.675,-1.88-25.8,#306,#132,0.0,0.0,0.0,7.43,12.05,88.62,0.54,Skyy Moore,KC,wr,NumberFire,https://www.numberfire.com/nfl/fantasy/remaining-projections/wr,True
14.985000000000001,-2.18-25.46,#307,#133,0.0,0.0,0.0,6.69,11.74,90.46,0.44,Olamide Zaccheaus,WSH,wr,NumberFire,https://www.numberfire.com/nfl/fantasy/remaining-projections/wr,True
14.295,-2.78-24.74,#310,#134,0.0,0.0,0.0,6.63,11.74,86.91,0.38,Dyami Brown,WSH,wr,NumberFire,https://www.numberfire.com/nfl/fantasy/remaining-projections/wr,True
13.91,-3.02-24.46,#312,#135,0.0,0.0,0.0,6.38,11.01,78.06,0.5,Ashton Dulin,IND,wr,NumberFire,https://www.numberfire.com/nfl/fantasy/remaining-projections/wr,True
13.77,-3.09-24.39,#313,#136,0.0,0.0,0.0,6.24,10.05,79.62,0.53,Deonte Harty,BAL,wr,NumberFire,https://www.numberfire.com/nfl/fantasy/remaining-projections/wr,True
