fpts,fpts_ci,rank_overall,rank_pos,pass_yd,pass_td,pass_int,rush_att,rush_yd,rush_td,player,team,pos,source,source_url,fpts_halfppr_adjust,pass_cmp,pass_att
0.0,-19.13-19.13,#544,#36,0.0,0.0,0.0,0.0,0.0,0.0,Will Grier,PHI,qb,NumberFire,https://www.numberfire.com/nfl/fantasy/remaining-projections/qb,False,0.0,0.0
0.0,-19.13-19.13,#544,#36,0.0,0.0,0.0,0.0,0.0,0.0,Brett Rypien,CHI,qb,NumberFire,https://www.numberfire.com/nfl/fantasy/remaining-projections/qb,False,0.0,0.0
0.0,-19.13-19.13,#544,#36,0.0,0.0,0.0,0.0,0.0,0.0,Easton Stick,LAC,qb,NumberFire,https://www.numberfire.com/nfl/fantasy/remaining-projections/qb,False,0.0,0.0
0.0,-19.13-19.13,#544,#36,0.0,0.0,0.0,0.0,0.0,0.0,Logan Woodside,ATL,qb,NumberFire,https://www.numberfire.com/nfl/fantasy/remaining-projections/qb,False,0.0,0.0
0.0,-19.13-19.13,#544,#36,0.0,0.0,0.0,0.0,0.0,0.0,Tyler Huntley,CLE,qb,NumberFire,https://www.numberfire.com/nfl/fantasy/remaining-projections/qb,False,0.0,0.0
0.0,-19.13-19.13,#544,#36,0.0,0.0,0.0,0.0,0.0,0.0,John Wolford,TB,qb,NumberFire,https://www.numberfire.com/nfl/fantasy/remaining-projections/qb,False,0.0,0.0
0.0,-19.13-19.13,#544,#36,0.0,0.0,0.0,0.0,0.0,0.0,Justin Fields,PIT,qb,NumberFire,https://www.numberfire.com/nfl/fantasy/remaining-projections/qb,False,0.0,0.0
0.0,-19.13-19.13,#544,#36,0.0,0.0,0.0,0.0,0.0,0.0,Mac Jones,JAC,qb,NumberFire,https://www.numberfire.com/nfl/fantasy/remaining-projections/qb,False,0.0,0.0
0.0,-19.13-19.13,#544,#36,0.0,0.0,0.0,0.0,0.0,0.0,Zach Wilson,DEN,qb,NumberFire,https://www.numberfire.com/nfl/fantasy/remaining-projections/qb,False,0.0,0.0
0.0,-19.13-19.13,#544,#36,0.0,0.0,0.0,0.0,0.0,0.0,Trey Lance,DAL,qb,NumberFire,https://www.numberfire.com/nfl/fantasy/remaining-projections/qb,False,0.0,0.0
0.0,-19.13-19.13,#544,#36,0.0,0.0,0.0,0.0,0.0,0.0,Davis Mills,HOU,qb,NumberFire,https://www.numberfire.com/nfl/fantasy/remaining-projections/qb,False,0.0,0.0
0.0,-19.13-19.13,#544,#36,0.0,0.0,0.0,0.0,0.0,0.0,Mike White,MIA,qb,NumberFire,https://www.numberfire.com/nfl/fantasy/remaining-projections/qb,False,0.0,0.0
0.0,-19.13-19.13,#544,#36,0.0,0.0,0.0,0.0,0.0,0.0,Sam Ehlinger,IND,qb,NumberFire,https://www.numberfire.com/nfl/fantasy/remaining-projections/qb,False,0.0,0.0
0.0,-19.13-19.13,#544,#36,0.0,0.0,0.0,0.0,0.0,0.0,Kenny Pickett,PHI,qb,NumberFire,https://www.numberfire.com/nfl/fantasy/remaining-projections/qb,False,0.0,0.0
0.0,-19.13-19.13,#544,#36,0.0,0.0,0.0,0.0,0.0,0.0,Malik Willis,TEN,qb,NumberFire,https://www.numberfire.com/nfl/fantasy/remaining-projections/qb,False,0.0,0.0
0.0,-19.13-19.13,#544,#36,0.0,0.0,0.0,0.0,0.0,0.0,Bailey Zappe,NE,qb,NumberFire,https://www.numberfire.com/nfl/fantasy/remaining-projections/qb,False,0.0,0.0
0.0,-19.13-19.13,#544,#36,0.0,0.0,0.0,0.0,0.0,0.0,Skylar Thompson,MIA,qb,NumberFire,https://www.numberfire.com/nfl/fantasy/remaining-projections/qb,False,0.0,0.0
0.0,-19.13-19.13,#544,#36,0.0,0.0,0.0,0.0,0.0,0.0,Desmond Ridder,ARI,qb,NumberFire,https://www.numberfire.com/nfl/fantasy/remaining-projections/qb,False,0.0,0.0
0.0,-19.13-19.13,#544,#36,0.0,0.0,0.0,0.0,0.0,0.0,Anthony Brown,LV,qb,NumberFire,https://www.numberfire.com/nfl/fantasy/remaining-projections/qb,False,0.0,0.0
0.0,-19.13-19.13,#544,#36,0.0,0.0,0.0,0.0,0.0,0.0,Sam Howell,SEA,qb,NumberFire,https://www.numberfire.com/nfl/fantasy/remaining-projections/qb,False,0.0,0.0
0.0,-19.13-19.13,#544,#36,0.0,0.0,0.0,0.0,0.0,0.0,Kyle Trask,TB,qb,NumberFire,https://www.numberfire.com/nfl/fantasy/remaining-projections/qb,False,0.0,0.0
0.0,-19.13-19.13,#544,#36,0.0,0.0,0.0,0.0,0.0,0.0,Sean Clifford,GB,qb,NumberFire,https://www.numberfire.com/nfl/fantasy/remaining-projections/qb,False,0.0,0.0
0.0,-19.13-19.13,#544,#36,0.0,0.0,0.0,0.0,0.0,0.0,Jake Browning,CIN,qb,NumberFire,https://www.numberfire.com/nfl/fantasy/remaining-projections/qb,False,0.0,0.0
0.0,-19.13-19.13,#544,#36,0.0,0.0,0.0,0.0,0.0,0.0,Dorian Thompson-Robinson,CLE,qb,NumberFire,https://www.numberfire.com/nfl/fantasy/remaining-projections/qb,False,0.0,0.0
0.0,-19.13-19.13,#544,#36,0.0,0.0,0.0,0.0,0.0,0.0,Malik Cunningham,BAL,qb,NumberFire,https://www.numberfire.com/nfl/fantasy/remaining-projections/qb,False,0.0,0.0
0.0,-19.13-19.13,#544,#36,0.0,0.0,0.0,0.0,0.0,0.0,Tyson Bagent,CHI,qb,NumberFire,https://www.numberfire.com/nfl/fantasy/remaining-projections/qb,False,0.0,0.0
0.0,-19.13-19.13,#544,#36,0.0,0.0,0.0,0.0,0.0,0.0,Clayton Tune,ARI,qb,NumberFire,https://www.numberfire.com/nfl/fantasy/remaining-projections/qb,False,0.0,0.0
0.0,-19.13-19.13,#544,#36,0.0,0.0,0.0,0.0,0.0,0.0,Jaren Hall,MIN,qb,NumberFire,https://www.numberfire.com/nfl/fantasy/remaining-projections/qb,False,0.0,0.0
0.0,-19.13-19.13,#544,#36,0.0,0.0,0.0,0.0,0.0,0.0,Tommy DeVito,NYG,qb,NumberFire,https://www.numberfire.com/nfl/fantasy/remaining-projections/qb,False,0.0,0.0
