params/verbose,params/vf_coef,params/device,time/iterations,params/gamma,params/seed,params/learning_rate,params/stats_window_size,params/rollout_buffer_kwargs,params/policy_kwargs,rollout/ep_rew_mean,time/fps,params/normalize_advantage,time/time_elapsed,rollout/ep_len_mean,params/target_kl,params/n_steps,params/clip_range,params/rollout_buffer_class,params/batch_size,params/_init_setup_model,params/gae_lambda,params/clip_range_vf,params/n_epochs,params/use_sde,params/sde_sample_freq,time/total_timesteps,params/max_grad_norm,params/policy,params/ent_coef,train/entropy_loss,train/clip_range,train/explained_variance,train/clip_fraction,train/n_updates,train/policy_gradient_loss,train/learning_rate,train/loss,train/approx_kl,train/value_loss,mean_reward,eval/mean_reward,eval/mean_ep_length
,,,56,,,,,,,-0.42309512499999996,13,,60,15.0,,,,,,,,,,,,840,,,,-1.7532970666885377,0.2,-0.6188750267028809,0.0,550,-0.0006241993065730256,5e-05,0.26219940185546875,0.00019284486,0.7183576345443725,,,
,,,57,,,,,,,-0.42773175438596484,13,,61,15.0,,,,,,,,,,,,855,,,,-1.7540086150169372,0.2,0.6359906792640686,0.0,560,-0.0056997206605348795,5e-05,-0.03527260199189186,0.000464197,0.03371371403336525,,,
,,,58,,,,,,,-0.40841693103448273,13,,62,15.0,,,,,,,,,,,,870,,,,-1.7486295342445373,0.2,-0.9664506912231445,0.0,570,-0.0008198076483679984,5e-05,-0.024661168456077576,0.00018866062,0.05014379862695932,,,
,,,59,,,,,,,-0.389172813559322,13,,63,15.0,,,,,,,,,,,,885,,,,-1.746767508983612,0.2,-4.68271017074585,0.0,580,-0.0030127569850691314,5e-05,0.3187882900238037,0.000108035405,0.8751985192298889,,,
,,,60,,,,,,,-0.39440733333333333,13,,64,15.0,,,,,,,,,,,,900,,,,-1.7406094551086426,0.2,-8.116133689880371,0.0,590,-0.0018322583718685336,5e-05,0.06895732134580612,4.2585532e-05,0.4329850792884827,,,
,,,61,,,,,,,-0.3769293442622951,13,,65,15.0,,,,,,,,,,,,915,,,,-1.7408146977424621,0.2,0.4287707209587097,0.0,600,-0.0010905191971325224,5e-05,0.0847337618470192,4.8971175e-05,0.2672963097691536,,,
,,,62,,,,,,,-0.3820518709677419,13,,66,15.0,,,,,,,,,,,,930,,,,-1.7428175926208496,0.2,-26.52886962890625,0.0,610,-0.0008546360428709932,5e-05,0.07916218042373657,2.2323926e-05,0.3152927875518799,,,
,,,63,,,,,,,-0.38627207936507935,13,,67,15.0,,,,,,,,,,,,945,,,,-1.7432822823524474,0.2,0.8180708587169647,0.0,620,-0.004591277701933905,5e-05,0.02162117511034012,0.00010942618,0.17638717144727706,,,
,,,64,,,,,,,-0.39037996875000003,13,,68,15.0,,,,,,,,,,,,960,,,,-1.7393532156944276,0.2,0.12720578908920288,0.0,630,-0.0014220357295318565,5e-05,-0.012336727231740952,9.990533e-05,0.13326701745390893,,,
,,,65,,,,,,,-0.39516460000000003,13,,69,15.0,,,,,,,,,,,,975,,,,-1.7422789931297302,0.2,0.2964041233062744,0.0,640,-0.0037713061034445163,5e-05,-0.03957114741206169,0.0003049771,0.0372516849078238,,,
,,,66,,,,,,,-0.3993308636363637,13,,70,15.0,,,,,,,,,,,,990,,,,-1.7481016159057616,0.2,-0.46967649459838867,0.0,650,-0.005696402077252571,5e-05,-0.03855496644973755,0.00046423275,0.025583920441567896,,,
,,,67,,,,,,,-0.40266125373134337,13,,72,15.0,,,,,,,,,,,,1005,,,,-1.7518946647644043,0.2,-0.8787449598312378,0.0,660,-0.008555341570172459,5e-05,-0.048300717025995255,0.00095474324,0.01804771050810814,-0.026059572,,
,,,68,,,,,,,-0.3867378088235295,13,,73,15.0,,,,,,,,,,,,1020,,,,-1.7461150884628296,0.2,0.5854077935218811,0.0,670,-0.0009997191377140169,5e-05,-0.03985463082790375,0.0003324906,0.007225366635248065,,,
,,,69,,,,,,,-0.3707425362318841,13,,74,15.0,,,,,,,,,,,,1035,,,,-1.7505914330482484,0.2,-3.2960329055786133,0.0,680,0.0005323750104189173,5e-05,0.27188795804977417,8.2850456e-05,0.8211490035057067,,,
,,,70,,,,,,,-0.3752867571428572,13,,75,15.0,,,,,,,,,,,,1050,,,,-1.7460341095924377,0.2,-3.910390853881836,0.0,690,-0.0029135032087410197,5e-05,0.03924759104847908,0.00011585951,0.3698401808738708,,,
,,,71,,,,,,,-0.37998914084507046,13,,76,15.0,,,,,,,,,,,,1065,,,,-1.7459504365921021,0.2,0.667308896780014,0.0,700,-0.005631328806436286,5e-05,0.07072317600250244,0.0002511422,0.2556681364774704,,,
,,,72,,,,,,,-0.38500143055555547,13,,77,15.0,,,,,,,,,,,,1080,,,,-1.7339765191078187,0.2,0.01561582088470459,0.0,710,7.107257503236042e-06,5e-05,0.03467955067753792,9.272893e-05,0.2696377471089363,,,
,,,73,,,,,,,-0.3890125342465753,14,,78,15.0,,,,,,,,,,,,1095,,,,-1.7328040242195129,0.2,-0.1326122283935547,0.0,720,-0.004039714407796424,5e-05,-0.03337693214416504,0.00015996298,0.08643226586282253,,,
,,,74,,,,,,,-0.37340422972972964,14,,79,15.0,,,,,,,,,,,,1110,,,,-1.7318949341773986,0.2,0.806610032916069,0.0,730,-0.0021278860631475994,5e-05,-0.03554709628224373,0.00017118057,0.008784238807857036,,,
,,,75,,,,,,,-0.3780465466666666,14,,80,15.0,,,,,,,,,,,,1125,,,,-1.7325477361679078,0.2,-6.532856464385986,0.0,740,-0.0012068931122968252,5e-05,0.411519318819046,0.0001710097,1.0995538234710693,,,
,,,76,,,,,,,-0.3647738684210526,14,,81,15.0,,,,,,,,,,,,1140,,,,-1.7327666521072387,0.2,-0.26064014434814453,0.0,750,-0.008490980998612941,5e-05,-0.04347946494817734,0.0006134351,0.02793875299394131,,,
,,,77,,,,,,,-0.3696887272727272,14,,82,15.0,,,,,,,,,,,,1155,,,,-1.7410928845405578,0.2,-5.2498884201049805,0.0,760,-0.003552099966910305,5e-05,0.15789377689361572,0.0005268256,0.5300056159496307,,,
,,,78,,,,,,,-0.3748339743589743,14,,83,15.0,,,,,,,,,,,,1170,,,,-1.7507702827453613,0.2,0.802819237112999,0.0,770,-0.00944706721308961,5e-05,-0.03724098205566406,0.0009071509,0.04399449322372675,,,
