time/fps,params/seed,params/verbose,params/policy,params/stats_window_size,params/normalize_advantage,params/use_sde,params/_init_setup_model,time/total_timesteps,params/max_grad_norm,time/time_elapsed,params/learning_rate,params/n_epochs,params/vf_coef,params/ent_coef,params/sde_sample_freq,rollout/ep_len_mean,params/clip_range,params/rollout_buffer_class,mean_reward,params/device,params/batch_size,params/rollout_buffer_kwargs,params/n_steps,params/gamma,params/gae_lambda,time/iterations,params/clip_range_vf,params/policy_kwargs,rollout/ep_rew_mean,train/clip_fraction,train/approx_kl,train/policy_gradient_loss,train/n_updates,train/learning_rate,train/clip_range,train/loss,train/explained_variance,train/value_loss,train/entropy_loss,eval/mean_ep_length,eval/mean_reward
15,,,,,,,,51000,,3330,,,,,,15.05,,,1.2910144,,,,,,,68,,,1.32088315,0.11791111032168071,0.012854022,-0.03369747416729935,2010,9.874375e-05,0.2,-0.048352908343076706,-0.04279124736785889,0.10797156567374865,-1.163116717338562,,
15,,,,,,,,51750,,3378,,,,,,15.0,,,1.3529359,,,,,,,69,,,1.39886478,0.1358666663368543,0.012362655,-0.03416497762143198,2040,9.8725e-05,0.2,-0.0520884208381176,0.07488971948623657,0.09163681144515673,-1.163872488339742,,
15,,,,,,,,52500,,3428,,,,,,15.0,,,1.4248898,,,,,,,70,,,1.3985739600000002,0.11302222199738025,0.011493676,-0.028507995935131092,2070,9.870625e-05,0.2,-0.03397465869784355,0.02887660264968872,0.10860316430528959,-1.1699058413505554,,
15,,,,,,,,53250,,3476,,,,,,15.0,,,1.3941126,,,,,,,71,,,1.33099228,0.13133333434040348,0.011779047,-0.032743931223803924,2100,9.86875e-05,0.2,-0.012523844838142395,-0.025614619255065918,0.172810664276282,-1.1703520973523458,,
15,,,,,,,,54000,,3524,,,,,,15.0,,,1.287787,,,,,,,72,,,1.3399345200000001,0.118977777287364,0.012930087,-0.029625862884894015,2130,9.866875000000001e-05,0.2,-0.006340406835079193,-0.004794955253601074,0.17888000061114628,-1.181777290503184,,
15,,,,,,,,54750,,3572,,,,,,15.0,,,1.2769933,,,,,,,73,,,1.32888378,0.14013333251544585,0.014086313,-0.03219179949189221,2160,9.865000000000001e-05,0.2,-0.01777976006269455,0.04358166456222534,0.15752279510100684,-1.161637504895528,,
,,,,,,,,55000,,,,,,,,,,,1.3809165,,,,,,,,,,,0.1335555569579204,0.010860496,-0.030724020356032996,2190,9.863125e-05,0.2,-0.0037489086389541626,-0.11201786994934082,0.18843291997909545,-1.1204416394233703,15.0,1.425599253177643
15,,,,,,,,55500,,3627,,,,,,15.05,,,,,,,,,,74,,,1.3102606300000001,,,,,,,,,,,,
15,,,,,,,,56250,,3679,,,,,,15.05,,,1.3328843,,,,,,,75,,,1.3578079599999995,0.12302222275951256,0.011863796,-0.03198598553308596,2220,9.86125e-05,0.2,-0.016626514494419098,-0.04791998863220215,0.16849758128325146,-1.1312701185544332,,
15,,,,,,,,57000,,3728,,,,,,15.0,,,1.4036254,,,,,,,76,,,1.44906745,0.14093333308895428,0.01050607,-0.03088809998817747,2250,9.859375000000001e-05,0.2,-0.03395595774054527,-0.16109752655029297,0.12844180216391882,-1.132184092203776,,
15,,,,,,,,57750,,3777,,,,,,15.0,,,1.4536747,,,,,,,77,,,1.45942309,0.17528888917683313,0.0123368,-0.03148297255511086,2280,9.8575e-05,0.2,-0.06830713897943497,0.057608842849731445,0.04840107125540574,-1.1541369001070658,,
15,,,,,,,,58500,,3825,,,,,,15.0,,,1.4231479,,,,,,,78,,,1.39757767,0.1494222216308117,0.015989458,-0.028448468978661632,2310,9.855625e-05,0.2,-0.030057057738304138,0.008192956447601318,0.11626002192497253,-1.1404971480369568,,
15,,,,,,,,59250,,3874,,,,,,15.0,,,1.4337775,,,,,,,79,,,1.3953913200000003,0.1204888882736365,0.013530644,-0.033681077288329184,2340,9.85375e-05,0.2,-0.054528720676898956,0.07244008779525757,0.08212574049830437,-1.1196930249532064,,
,,,,,,,,60000,,,,,,,,,,,1.3573397,,,,,,,,,,,0.14800000053364784,0.013446498,-0.030122277661205996,2370,9.851875e-05,0.2,-0.027610663324594498,-0.07887673377990723,0.12630937546491622,-1.1221929470698038,15.0,1.629772996902466
15,,,,,,,,60000,,3929,,,,,,15.0,,,,,,,,,,80,,,1.3891685599999999,,,,,,,,,,,,
15,,,,,,,,60750,,3979,,,,,,15.05,,,1.3471646,,,,,,,81,,,1.37527022,0.11191111089040835,0.012106865,-0.030071282399911435,2400,9.850000000000001e-05,0.2,-0.023354273289442062,0.02191060781478882,0.1285988839964072,-1.1202449957529703,,
15,,,,,,,,61500,,4028,,,,,,15.05,,,1.3513875,,,,,,,82,,,1.3565673500000002,0.14924444366867343,0.01104384,-0.03082738200748961,2430,9.848125000000001e-05,0.2,-0.007815130054950714,0.022294580936431885,0.16565676381190617,-1.1422604997952779,,
15,,,,,,,,62250,,4076,,,,,,15.0,,,1.4140649,,,,,,,83,,,1.3573757499999997,0.1376888890983537,0.013027999,-0.03291389234123958,2460,9.84625e-05,0.2,-0.041099827736616135,0.025015175342559814,0.12249276340007782,-1.1134020884831746,,
15,,,,,,,,63000,,4124,,,,,,15.0,,,1.3736225,,,,,,,84,,,1.3270201599999998,0.14568888948609432,0.01366821,-0.03682236117296335,2490,9.844375e-05,0.2,-0.056865010410547256,-0.05909860134124756,0.08918517157435417,-1.0979865829149882,,
15,,,,,,,,63750,,4173,,,,,,15.0,,,1.3011215,,,,,,,85,,,1.3350913500000001,0.13377777754018705,0.010493674,-0.02997312691741518,2520,9.842500000000001e-05,0.2,0.018149465322494507,0.016654551029205322,0.22427976032098135,-1.0866945385932922,,
15,,,,,,,,64500,,4221,,,,,,15.0,,,1.3892478,,,,,,,86,,,1.4149093899999996,0.13062222289542358,0.00836672,-0.028347438591449624,2550,9.840625e-05,0.2,-0.006007812917232513,0.039714157581329346,0.16136541366577148,-1.1063036799430848,,
,,,,,,,,65000,,,,,,,,,,,1.4203725,,,,,,,,,,,0.16671111111839612,0.012815885,-0.030475031965308725,2580,9.83875e-05,0.2,-0.0296306312084198,-0.05060410499572754,0.11440251419941584,-1.0843903462092082,15.0,1.4249553680419922
15,,,,,,,,65250,,4276,,,,,,15.05,,,,,,,,,,87,,,1.4577099900000001,,,,,,,,,,,,
15,,,,,,,,66000,,4324,,,,,,15.05,,,1.4557052,,,,,,,88,,,1.44834263,0.13306666649878024,0.012695595,-0.03146944794988052,2610,9.836875e-05,0.2,-0.06149021536111832,0.10238343477249146,0.055956241115927695,-1.084598437945048,,
15,,,,,,,,66750,,4373,,,,,,15.0,,,1.4412651,,,,,,,89,,,1.4494689600000001,0.15382222283321123,0.013736683,-0.0303138318956312,2640,9.835e-05,0.2,-0.033333826810121536,-0.11338925361633301,0.11675164550542831,-1.1178085168202718,,
15,,,,,,,,67500,,4422,,,,,,15.0,,,1.4767958,,,,,,,90,,,1.4419294299999998,0.15346666685460755,0.013532983,-0.0320058292921115,2670,9.833125000000001e-05,0.2,-0.05894387513399124,-0.09315848350524902,0.06410764679312705,-1.123373560110728,,
