rank,name,team,position,games_played,pass_yds,pass_td,pass_int,rush_yds,rush_td,rec,rec_yds,rec_td,sacks,def_int,fumbles_forced,fumbles_rec,fpts_per_game,fpts
18,Drew Lock,SEA,QB,3,460,3,1,19,0,0,0,0,0,0,0,0,10.8,32.3
19,D'Ernest Johnson,JAX,RB,3,0,0,0,93,3,5,22,0,0,0,0,0,10.7,32.0
20,John Kelly Jr.,CLE,RB,4,0,0,0,88,1,9,66,1,0,0,0,0,7.5,29.9
21,Tim Boyle,NYJ,QB,4,358,4,2,4,0,0,0,0,0,0,0,0,7.2,28.7
22,Niko Lalos,NO,DE,3,0,0,0,0,0,0,0,0,4,0,0,0,9.5,28.4
23,Caleb Murphy,TEN,OLB,3,0,0,0,0,0,0,0,0,4,0,1,0,9.4,28.3
24,Jake Bobo,SEA,WR,3,0,0,0,0,0,7,125,2,0,0,0,0,9.3,28.0
25,Elijah Dotson,LAC,RB,3,0,0,0,146,2,1,9,0,0,0,0,0,9.3,28.0
26,Nathan Rourke,JAX,QB,3,348,1,0,39,1,0,0,0,0,0,0,0,9.3,27.8
27,Kyle Trask,TB,QB,3,509,2,1,14,0,0,0,0,0,0,0,0,9.3,27.8
28,Salvon Ahmed,MIA,RB,3,0,0,0,142,0,6,43,1,0,0,0,0,9.2,27.5
29,Shane Buechele,KC,QB,3,349,3,3,14,1,0,0,0,0,0,0,0,9.1,27.4
