gp,rec_tgt,rec_rcpt,rec_yd,rec_yd_per_game,rec_yd_per_rcpt,rec_td,fumbles_lost,fpts,fp_per_game,pos,source,source_url,fpts_halfppr_adjust,player,team
17,16,13,124,7.3,9.5,1,0,17.5,0.6,TE,CBS,https://www.cbssports.com/fantasy/football/stats/TE/2024/restofseason/projections/nonppr/,True,Tanner McLachlan,CIN
17,16,13,124,7.3,9.5,1,0,17.5,0.6,TE,CBS,https://www.cbssports.com/fantasy/football/stats/TE/2024/restofseason/projections/nonppr/,True,Erick All,CIN
17,14,12,129,7.6,10.8,1,0,17.0,0.6,TE,CBS,https://www.cbssports.com/fantasy/football/stats/TE/2024/restofseason/projections/nonppr/,True,Luke Farrell,JAC
17,17,13,129,7.6,9.9,1,0,17.5,0.6,TE,CBS,https://www.cbssports.com/fantasy/football/stats/TE/2024/restofseason/projections/nonppr/,True,Jared Wiley,C
17,11,9,91,5.4,10.1,1,0,14.5,0.6,TE,CBS,https://www.cbssports.com/fantasy/football/stats/TE/2024/restofseason/projections/nonppr/,True,Josh Whyle,N
17,17,9,91,5.4,10.1,1,0,14.5,0.6,TE,CBS,https://www.cbssports.com/fantasy/football/stats/TE/2024/restofseason/projections/nonppr/,True,Hunter Long,LAR
17,11,9,104,6.1,11.6,1,0,14.5,0.6,TE,CBS,https://www.cbssports.com/fantasy/football/stats/TE/2024/restofseason/projections/nonppr/,True,Lucas Krull,DEN
17,16,13,100,5.9,7.7,1,0,16.5,0.6,TE,CBS,https://www.cbssports.com/fantasy/football/stats/TE/2024/restofseason/projections/nonppr/,True,Drew Sample,CIN
17,14,11,114,6.7,10.4,1,0,15.5,0.6,TE,CBS,https://www.cbssports.com/fantasy/football/stats/TE/2024/restofseason/projections/nonppr/,True,Devin Culp,TB
17,12,10,88,5.2,8.8,1,0,15.0,0.6,TE,CBS,https://www.cbssports.com/fantasy/football/stats/TE/2024/restofseason/projections/nonppr/,True,Marcedes Lewis,CHI
17,15,11,107,6.3,9.7,1,0,15.5,0.6,TE,CBS,https://www.cbssports.com/fantasy/football/stats/TE/2024/restofseason/projections/nonppr/,True,Albert Okwuegbunam,PHI
17,15,11,114,6.7,10.4,1,0,15.5,0.6,TE,CBS,https://www.cbssports.com/fantasy/football/stats/TE/2024/restofseason/projections/nonppr/,True,Jeremy Ruckert,NYJ
17,19,11,113,6.6,10.3,1,0,15.5,0.6,TE,CBS,https://www.cbssports.com/fantasy/football/stats/TE/2024/restofseason/projections/nonppr/,True,Peyton Hendershot,DAL
17,14,11,115,6.8,10.5,1,0,15.5,0.6,TE,CBS,https://www.cbssports.com/fantasy/football/stats/TE/2024/restofseason/projections/nonppr/,True,Davis Allen,LAR
17,13,10,116,6.8,11.6,1,0,15.0,0.6,TE,CBS,https://www.cbssports.com/fantasy/football/stats/TE/2024/restofseason/projections/nonppr/,True,Will Mallory,IND
17,13,10,91,5.4,9.1,1,0,15.0,0.6,TE,CBS,https://www.cbssports.com/fantasy/football/stats/TE/2024/restofseason/projections/nonppr/,True,Jaheim Bell,NE
17,12,9,90,5.3,10.0,1,0,14.5,0.6,TE,CBS,https://www.cbssports.com/fantasy/football/stats/TE/2024/restofseason/projections/nonppr/,True,Darnell Washington,PIT
17,15,11,102,6.0,9.3,1,0,15.5,0.6,TE,CBS,https://www.cbssports.com/fantasy/football/stats/TE/2024/restofseason/projections/nonppr/,True,Travis Vokolek,ARI
