time/iterations,params/rollout_buffer_kwargs,params/learning_rate,params/n_steps,params/sde_sample_freq,params/vf_coef,rollout/ep_rew_mean,params/clip_range_vf,params/gae_lambda,params/seed,params/rollout_buffer_class,params/batch_size,params/policy_kwargs,time/total_timesteps,params/gamma,params/normalize_advantage,mean_reward,params/policy,time/time_elapsed,params/_init_setup_model,time/fps,params/clip_range,params/stats_window_size,params/target_kl,params/n_epochs,params/device,params/ent_coef,params/max_grad_norm,rollout/ep_len_mean,params/verbose,params/use_sde,train/clip_range,train/n_updates,train/policy_gradient_loss,train/learning_rate,train/clip_fraction,train/explained_variance,train/entropy_loss,train/approx_kl,train/loss,train/value_loss,eval/mean_reward,eval/mean_ep_length
37,,,,,,0.78302225,,,,,,,75776,,,0.051924217,,5235,,14,,,,,,,,15.05,,,,,,,,,,,,,,
38,,,,,,0.78441127,,,,,,,77824,,,0.05230039,,5374,,14,,,,,,,,15.0,,,0.2,370,-0.015439023949147668,0.0003,0.241943359375,0.530612975358963,-1.1114925580099224,0.020991419,-0.01469991821795702,0.0018087263559209532,,
39,,,,,,0.7693800300000001,,,,,,,79872,,,0.052069206,,5516,,14,,,,,,,,15.0,,,0.2,380,-0.02428328113965108,0.0003,0.290673828125,0.9457277655601501,-1.092743369564414,0.03130515,-0.04190433770418167,0.000430580682677828,,
,,,,,,,,,,,,,80000,,,,,,,,,,,,,,,,,,0.2,390,-0.011468298076943028,0.0003,0.3119140625,0.6088353395462036,-1.0556123157963158,0.024231292,-0.03144020959734917,0.007465122020585113,0.8138686574995517,15.0
40,,,,,,0.7712335400000001,,,,,,,81920,,,0.050917372,,5667,,14,,,,,,,,15.0,,,,,,,,,,,,,,
41,,,,,,0.7926513299999999,,,,,,,83968,,,0.051487092,,5811,,14,,,,,,,,15.0,,,0.2,400,-0.01609833951879409,0.0003,0.269091796875,0.4404136538505554,-1.0450174782425166,0.024051212,-0.04107149690389633,0.007223616171540925,,
,,,,,,,,,,,,,85000,,,0.05248117,,,,,,,,,,,,,,,0.2,410,-0.010768405906128464,0.0003,0.270361328125,0.5805031955242157,-1.0330201257020235,0.023000248,-0.007735593244433403,0.007139582588752092,0.8084283515810966,15.0
42,,,,,,0.7945711299999999,,,,,,,86016,,,0.05263194,,5959,,14,,,,,,,,15.05,,,,,,,,,,,,,,
43,,,,,,0.7822725000000001,,,,,,,88064,,,0.053160813,,6106,,14,,,,,,,,15.0,,,0.2,420,-0.01721021039702464,0.0003,0.261328125,0.8784010261297226,-1.002731724269688,0.022904923,-0.0485687293112278,0.0005883796666694252,,
,,,,,,,,,,,,,90000,,,0.05316453,,,,,,,,,,,,,,,0.2,430,-0.018999120901571586,0.0003,0.29345703125,0.6137589812278748,-0.9701788365840912,0.029425446,-0.05538454279303551,0.007034384882263112,0.8119520761072636,15.0
44,,,,,,0.8003425200000001,,,,,,,90112,,,0.053248063,,6257,,14,,,,,,,,15.05,,,,,,,,,,,,,,
45,,,,,,0.80035959,,,,,,,92160,,,0.053446896,,6400,,14,,,,,,,,15.0,,,0.2,440,-0.011972239475289826,0.0003,0.263916015625,0.7810957878828049,-0.9551447393372655,0.03366611,-0.01688460074365139,0.0006588397123778123,,
46,,,,,,0.8008277100000001,,,,,,,94208,,,0.05301973,,6546,,14,,,,,,,,15.0,,,0.2,450,-0.01691462443995988,0.0003,0.25419921875,0.9715503174811602,-0.9506391756236553,0.024943173,-0.0678410530090332,0.00029209253166300185,,
,,,,,,,,,,,,,95000,,,,,,,,,,,,,,,,,,0.2,460,-0.022492232742661145,0.0003,0.240185546875,0.9788337554782629,-0.889748552441597,0.03421385,-0.0014357781037688255,0.0002453350830364798,0.8032390996813774,15.0
