params/learning_starts,params/stats_window_size,params/gamma,params/target_update_interval,params/exploration_initial_eps,time/episodes,time/time_elapsed,rollout/ep_len_mean,params/verbose,time/fps,params/exploration_final_eps,params/gradient_steps,params/batch_size,params/train_freq,rollout/ep_rew_mean,time/total_timesteps,params/policy,params/buffer_size,params/tau,params/policy_kwargs,params/exploration_fraction,params/learning_rate,rollout/exploration_rate,params/max_grad_norm,train/loss,train/learning_rate,mean_reward,train/n_updates,eval/mean_reward,eval/mean_ep_length
,,,,,476,502,15.0,,14,,,,,-0.24734544,7145,,,,,,,0.8642449999999997,,0.016126174479722977,0.0003,,1536,,
,,,,,480,506,15.0,,14,,,,,-0.23389933,7205,,,,,,,0.8631049999999997,,0.006544183008372784,0.0003,,1551,,
,,,,,484,510,15.0,,14,,,,,-0.23569226999999998,7265,,,,,,,0.8619649999999996,,0.007724210154265165,0.0003,,1566,,
,,,,,488,514,15.0,,14,,,,,-0.23228234000000003,7325,,,,,,,0.8608249999999995,,0.015531381592154503,0.0003,,1581,,
,,,,,492,518,15.0,,14,,,,,-0.26266706999999995,7385,,,,,,,0.8596850000000005,,0.015774598345160484,0.0003,,1596,,
,,,,,496,523,15.0,,14,,,,,-0.27751166,7445,,,,,,,0.8585450000000004,,0.007027688901871443,0.0003,,1611,,
,,,,,500,527,15.0,,14,,,,,-0.25060891999999996,7505,,,,,,,0.8574050000000003,,0.012510132044553757,0.0003,,1626,,
,,,,,504,531,15.0,,14,,,,,-0.23494453,7565,,,,,,,0.8562650000000003,,0.007643174380064011,0.0003,,1641,,
,,,,,508,535,15.0,,14,,,,,-0.26419002,7625,,,,,,,0.8551250000000001,,0.005314097739756107,0.0003,,1656,,
,,,,,512,539,15.0,,14,,,,,-0.26555689000000005,7685,,,,,,,0.853985,,0.008193249814212322,0.0003,,1671,,
,,,,,516,543,15.0,,14,,,,,-0.23822321999999999,7745,,,,,,,0.852845,,0.004540214315056801,0.0003,,1686,,
,,,,,520,548,15.0,,14,,,,,-0.21007455,7805,,,,,,,0.8517049999999999,,0.006984072271734476,0.0003,,1701,,
,,,,,524,552,15.0,,14,,,,,-0.20836192999999997,7865,,,,,,,0.8505649999999998,,0.007664879318326712,0.0003,,1716,,
,,,,,528,556,15.0,,14,,,,,-0.22272555,7925,,,,,,,0.8494249999999997,,0.012135512195527554,0.0003,,1731,,
,,,,,532,560,15.0,,14,,,,,-0.20795078999999997,7985,,,,,,,0.8482849999999996,,0.004796250257641077,0.0003,,1746,,
,,,,,536,565,15.0,,14,,,,,-0.20575533000000001,8045,,,,,,,0.8471449999999996,,0.009921922348439693,0.0003,-0.010852284,1761,,
,,,,,540,569,15.0,,14,,,,,-0.16292553000000004,8105,,,,,,,0.8460050000000006,,0.010155541822314262,0.0003,,1776,,
,,,,,544,573,15.0,,14,,,,,-0.14808838,8165,,,,,,,0.8448650000000004,,0.0036354362964630127,0.0003,,1791,,
,,,,,548,577,15.0,,14,,,,,-0.14668871,8225,,,,,,,0.8437250000000004,,0.006057484541088343,0.0003,,1806,,
,,,,,552,581,15.0,,14,,,,,-0.11912276000000001,8285,,,,,,,0.8425850000000003,,0.012154756113886833,0.0003,,1821,,
,,,,,556,586,15.0,,14,,,,,-0.1060012,8345,,,,,,,0.8414450000000002,,0.004694528412073851,0.0003,,1836,,
,,,,,560,590,15.0,,14,,,,,-0.10604388000000002,8405,,,,,,,0.8403050000000001,,0.011811110191047192,0.0003,,1851,,
,,,,,564,594,15.0,,14,,,,,-0.09046836000000001,8465,,,,,,,0.8391649999999999,,0.017344892024993896,0.0003,,1866,,
,,,,,568,598,15.0,,14,,,,,-0.0769847,8525,,,,,,,0.8380249999999999,,0.018179690465331078,0.0003,,1881,,
,,,,,572,602,15.0,,14,,,,,-0.07504609999999999,8585,,,,,,,0.8368849999999999,,0.007331296801567078,0.0003,,1896,,
,,,,,576,606,15.0,,14,,,,,-0.08928108,8645,,,,,,,0.8357449999999997,,0.012332693673670292,0.0003,,1911,,
,,,,,580,610,15.0,,14,,,,,-0.08779797,8705,,,,,,,0.8346049999999997,,0.007185465656220913,0.0003,,1926,,
,,,,,584,614,15.0,,14,,,,,-0.08607147,8765,,,,,,,0.8334649999999996,,0.009906209073960781,0.0003,,1941,,
,,,,,588,618,15.0,,14,,,,,-0.07399620999999999,8825,,,,,,,0.8323250000000005,,0.004317527636885643,0.0003,,1956,,
,,,,,592,623,15.0,,14,,,,,-0.07296976000000002,8885,,,,,,,0.8311850000000005,,0.01680753007531166,0.0003,,1971,,
,,,,,596,627,15.0,,14,,,,,-0.05543070000000001,8945,,,,,,,0.8300450000000004,,0.011464395560324192,0.0003,,1986,,
,,,,,600,631,15.0,,14,,,,,-0.05443328,9005,,,,,,,0.8289050000000002,,0.012472724542021751,0.0003,-0.0004361372,2001,,
,,,,,604,635,15.0,,14,,,,,-0.05427182999999998,9065,,,,,,,0.8277650000000002,,0.008873713202774525,0.0003,,2016,,
,,,,,608,640,15.0,,14,,,,,-0.025562329999999998,9125,,,,,,,0.8266250000000002,,0.016159964725375175,0.0003,,2031,,
,,,,,612,644,15.0,,14,,,,,-0.02348371000000002,9185,,,,,,,0.825485,,0.00646963668987155,0.0003,,2046,,
,,,,,616,648,15.0,,14,,,,,-0.021970350000000007,9245,,,,,,,0.824345,,0.0029957308433949947,0.0003,,2061,,
,,,,,620,652,15.0,,14,,,,,-0.05045294,9305,,,,,,,0.8232049999999999,,0.010697174817323685,0.0003,,2076,,
,,,,,624,656,15.0,,14,,,,,-0.07958570000000002,9365,,,,,,,0.8220649999999998,,0.018511932343244553,0.0003,,2091,,
,,,,,628,660,15.0,,14,,,,,-0.08137911000000003,9425,,,,,,,0.8209249999999997,,0.007496701553463936,0.0003,,2106,,
,,,,,632,664,15.0,,14,,,,,-0.09549363000000001,9485,,,,,,,0.8197849999999995,,0.007600012235343456,0.0003,,2121,,
,,,,,636,669,15.0,,14,,,,,-0.06800882999999999,9545,,,,,,,0.8186449999999995,,0.01931532472372055,0.0003,,2136,,
,,,,,640,673,15.0,,14,,,,,-0.10906732999999999,9605,,,,,,,0.8175050000000005,,0.006066473200917244,0.0003,,2151,,
,,,,,644,678,15.0,,14,,,,,-0.12418570000000001,9665,,,,,,,0.8163650000000005,,0.014182953163981438,0.0003,,2166,,
,,,,,648,682,15.0,,14,,,,,-0.10909232999999999,9725,,,,,,,0.8152250000000003,,0.027805959805846214,0.0003,,2181,,
,,,,,652,686,15.0,,14,,,,,-0.13647589999999998,9785,,,,,,,0.8140850000000003,,0.01849007047712803,0.0003,,2196,,
,,,,,656,691,15.0,,14,,,,,-0.16445057,9845,,,,,,,0.8129450000000001,,0.010065478272736073,0.0003,,2211,,
,,,,,660,695,15.0,,14,,,,,-0.19379352,9905,,,,,,,0.8118050000000001,,0.004534575622528791,0.0003,,2226,,
,,,,,664,699,15.0,,14,,,,,-0.19622756000000002,9965,,,,,,,0.810665,,0.004815810360014439,0.0003,,2241,,
,,,,,,,,,,,,,,,10000,,,,,,,0.8100190000000004,,0.007571082562208176,0.0003,,2249,-0.3856424044817686,15.0
,,,,,668,709,15.05,,14,,,,,-0.19411619000000005,10030,,,,,,,0.8094300000000003,,0.005406595300883055,0.0003,-0.017432787,2257,,
