player,team,pos,rec_tgt,rec_rcpt,rec_yd,rec_td,rush_yd,rush_td,fumbles_lost,fpts,source,source_url
Jonathan Mingo,CAR,WR,106.7,50.3,454.0,0.0,2.0,0.0,0.0,70.8,FantasySharks,https://www.fantasysharks.com/apps/bert/forecasts/projections.php?csv=1&Sort=&Position=4&scoring=18
Justin Watson,KCC,WR,53.8,28.5,471.0,1.5,0.0,0.0,0.8,68.8,FantasySharks,https://www.fantasysharks.com/apps/bert/forecasts/projections.php?csv=1&Sort=&Position=4&scoring=18
Brandon Powell,MIN,WR,60.0,34.2,392.0,1.7,16.0,0.0,0.0,68.1,FantasySharks,https://www.fantasysharks.com/apps/bert/forecasts/projections.php?csv=1&Sort=&Position=4&scoring=18
Luke McCaffrey,WAS,WR,70.1,36.3,372.0,1.3,16.0,0.0,0.0,65.0,FantasySharks,https://www.fantasysharks.com/apps/bert/forecasts/projections.php?csv=1&Sort=&Position=4&scoring=18
Nick Westbrook-Ikhine,TEN,WR,45.5,25.3,392.0,1.8,7.0,0.0,0.0,64.9,FantasySharks,https://www.fantasysharks.com/apps/bert/forecasts/projections.php?csv=1&Sort=&Position=4&scoring=18
DJ Chark,LAC,WR,65.2,29.4,383.0,2.0,14.0,0.0,1.0,64.4,FantasySharks,https://www.fantasysharks.com/apps/bert/forecasts/projections.php?csv=1&Sort=&Position=4&scoring=18
K.J. Osborn,NEP,WR,56.0,35.0,365.0,1.7,0.0,0.0,0.0,64.1,FantasySharks,https://www.fantasysharks.com/apps/bert/forecasts/projections.php?csv=1&Sort=&Position=4&scoring=18
Kadarius Toney,KCC,WR,50.5,32.6,273.0,2.7,21.0,0.0,0.4,61.4,FantasySharks,https://www.fantasysharks.com/apps/bert/forecasts/projections.php?csv=1&Sort=&Position=4&scoring=18
Cedrick Wilson,NOS,WR,51.6,26.2,331.0,2.2,-0.1,0.0,0.0,59.2,FantasySharks,https://www.fantasysharks.com/apps/bert/forecasts/projections.php?csv=1&Sort=&Position=4&scoring=18
Adonai Mitchell,IND,WR,66.1,33.9,385.0,0.4,3.0,0.0,0.0,59.2,FantasySharks,https://www.fantasysharks.com/apps/bert/forecasts/projections.php?csv=1&Sort=&Position=4&scoring=18
