player,pos,fpts,rec_rcpt,rec_yd,rec_td,rec_tgt,rush_att,rush_yd,rush_td,fpts_halfppr_adjust,source,source_url
Samaje Perine,RB,22.7148932875,9.052527239,63.67243891,0.200125548,11.06016614,18.61255623,80.95323829,0.461932138,True,ESPN,https://lm-api-reads.fantasy.espn.com/apis/v3/games/ffl/seasons/2024/segments/0/leaguedefaults/1?scoringPeriodId=0&view=kona_player_info
Isaac Guerendo,RB,22.742854284000003,3.691011428,27.00832072,0.168629421,4.827238677,26.7586479,116.0096613,0.956589251,True,ESPN,https://lm-api-reads.fantasy.espn.com/apis/v3/games/ffl/seasons/2024/segments/0/leaguedefaults/1?scoringPeriodId=0&view=kona_player_info
Royce Freeman,RB,22.391011145500002,4.352159135,30.71243974,0.131711805,5.724746249,27.78038449,116.2356879,0.795348024,True,ESPN,https://lm-api-reads.fantasy.espn.com/apis/v3/games/ffl/seasons/2024/segments/0/leaguedefaults/1?scoringPeriodId=0&view=kona_player_info
AJ Dillon,RB,23.744486158,4.108969412,30.8260171,0.124837234,5.214829546,32.60995777,127.9610167,0.857928364,True,ESPN,https://lm-api-reads.fantasy.espn.com/apis/v3/games/ffl/seasons/2024/segments/0/leaguedefaults/1?scoringPeriodId=0&view=kona_player_info
Israel Abanikanda,RB,21.431067949000003,4.086764402,29.0590091,0.1683727,5.277418976,25.01002549,107.0068755,0.815458203,True,ESPN,https://lm-api-reads.fantasy.espn.com/apis/v3/games/ffl/seasons/2024/segments/0/leaguedefaults/1?scoringPeriodId=0&view=kona_player_info
Ronnie Rivers,RB,22.832331471,4.309413596,30.10759681,0.126542775,5.490173955,27.39333088,114.9719873,0.854802313,True,ESPN,https://lm-api-reads.fantasy.espn.com/apis/v3/games/ffl/seasons/2024/segments/0/leaguedefaults/1?scoringPeriodId=0&view=kona_player_info
Alec Ingold,RB,18.660462735,13.04453291,95.11460906,0.44621805,17.215316,,,,True,ESPN,https://lm-api-reads.fantasy.espn.com/apis/v3/games/ffl/seasons/2024/segments/0/leaguedefaults/1?scoringPeriodId=0&view=kona_player_info
Dylan Laube,RB,20.213197734,8.46782948,59.88221019,0.265833228,10.99770735,15.11402662,61.95983587,0.326193606,True,ESPN,https://lm-api-reads.fantasy.espn.com/apis/v3/games/ffl/seasons/2024/segments/0/leaguedefaults/1?scoringPeriodId=0&view=kona_player_info
Rasheen Ali,RB,18.292374285,5.665815708,40.65159524,0.265321115,7.43365227,16.72653812,69.83926733,0.487228986,True,ESPN,https://lm-api-reads.fantasy.espn.com/apis/v3/games/ffl/seasons/2024/segments/0/leaguedefaults/1?scoringPeriodId=0&view=kona_player_info
Keaontay Ingram,RB,18.897542575,4.378131984,30.06658458,0.163408708,5.565268177,21.68886447,89.72791055,0.639307795,True,ESPN,https://lm-api-reads.fantasy.espn.com/apis/v3/games/ffl/seasons/2024/segments/0/leaguedefaults/1?scoringPeriodId=0&view=kona_player_info
Myles Gaskin,RB,16.450336524500003,2.140511885,14.20211478,0.108714609,2.813132043,25.14696257,99.65473968,0.580014253,True,ESPN,https://lm-api-reads.fantasy.espn.com/apis/v3/games/ffl/seasons/2024/segments/0/leaguedefaults/1?scoringPeriodId=0&view=kona_player_info
Jaret Patterson,RB,14.773447594,3.980372102,27.53555884,0.144358861,5.111365419,16.71911575,71.17666295,0.360557422,True,ESPN,https://lm-api-reads.fantasy.espn.com/apis/v3/games/ffl/seasons/2024/segments/0/leaguedefaults/1?scoringPeriodId=0&view=kona_player_info
Chris Evans,RB,13.195542116499999,4.520446345,30.93099492,0.168054468,5.69938641,10.18517702,43.75559308,0.384595459,True,ESPN,https://lm-api-reads.fantasy.espn.com/apis/v3/games/ffl/seasons/2024/segments/0/leaguedefaults/1?scoringPeriodId=0&view=kona_player_info
Chris Brooks,RB,13.0549377505,4.113027433,29.1753517,0.159984738,5.406007108,11.56022923,49.85685464,0.36867123,True,ESPN,https://lm-api-reads.fantasy.espn.com/apis/v3/games/ffl/seasons/2024/segments/0/leaguedefaults/1?scoringPeriodId=0&view=kona_player_info
