player,pos,fpts,rec_rcpt,rec_yd,rec_td,rec_tgt,rush_att,rush_yd,rush_td,fpts_halfppr_adjust,pass_att,pass_cmp,pass_yd,pass_td,pass_int,source,source_url
Keon Coleman,WR,141.016467148,58.86929244,815.8252464,4.957569662,97.18521818,,,,True,,,,,,ESPN,https://lm-api-reads.fantasy.espn.com/apis/v3/games/ffl/seasons/2024/segments/0/leaguedefaults/1?scoringPeriodId=0&view=kona_player_info
Rome Odunze,WR,145.36883829200002,59.75137457,804.6114211,5.552084443,100.248796,2.08591891,12.85370477,0.096404206,True,,,,,,ESPN,https://lm-api-reads.fantasy.espn.com/apis/v3/games/ffl/seasons/2024/segments/0/leaguedefaults/1?scoringPeriodId=0&view=kona_player_info
Ladd McConkey,WR,142.162965761,63.53509465,799.0172693,4.815138025,98.3107039,2.224111282,13.67999196,0.074635529,True,,,,,,ESPN,https://lm-api-reads.fantasy.espn.com/apis/v3/games/ffl/seasons/2024/segments/0/leaguedefaults/1?scoringPeriodId=0&view=kona_player_info
Mike Williams,WR,139.470764935,56.66138207,770.0304391,5.738924891,86.04702134,,,,True,,,,,,ESPN,https://lm-api-reads.fantasy.espn.com/apis/v3/games/ffl/seasons/2024/segments/0/leaguedefaults/1?scoringPeriodId=0&view=kona_player_info
Brian Thomas Jr.,WR,140.923874935,61.39916555,814.806461,4.810583949,100.5478832,,,,True,,,,,,ESPN,https://lm-api-reads.fantasy.espn.com/apis/v3/games/ffl/seasons/2024/segments/0/leaguedefaults/1?scoringPeriodId=0&view=kona_player_info
Marquise Brown,WR,118.039875166,43.82536949,640.1661101,5.172539161,77.74138616,1.589162241,10.10067405,0.065273762,True,,,,,,ESPN,https://lm-api-reads.fantasy.espn.com/apis/v3/games/ffl/seasons/2024/segments/0/leaguedefaults/1?scoringPeriodId=0&view=kona_player_info
Jakobi Meyers,WR,138.28738516939998,73.00436586,778.5060597,3.264543588,108.0177033,4.161101042,25.29348101,0.286324036,True,2.939603213,1.786927145,18.60885101,0.083542504,0.100066996,ESPN,https://lm-api-reads.fantasy.espn.com/apis/v3/games/ffl/seasons/2024/segments/0/leaguedefaults/1?scoringPeriodId=0&view=kona_player_info
Tyler Lockett,WR,136.064804029,69.34906963,767.5689514,4.191717597,101.0061591,,,,True,,,,,,ESPN,https://lm-api-reads.fantasy.espn.com/apis/v3/games/ffl/seasons/2024/segments/0/leaguedefaults/1?scoringPeriodId=0&view=kona_player_info
DeAndre Hopkins,WR,145.410637554,65.93409192,860.3359524,4.506789343,109.3118247,,,,True,,,,,,ESPN,https://lm-api-reads.fantasy.espn.com/apis/v3/games/ffl/seasons/2024/segments/0/leaguedefaults/1?scoringPeriodId=0&view=kona_player_info
Darnell Mooney,WR,146.07545605,55.6957565,810.1562807,5.570407288,91.97776022,4.302594959,25.24104856,0.277880547,True,,,,,,ESPN,https://lm-api-reads.fantasy.espn.com/apis/v3/games/ffl/seasons/2024/segments/0/leaguedefaults/1?scoringPeriodId=0&view=kona_player_info
Jerry Jeudy,WR,145.79392223500003,61.30662153,919.8782317,4.001520663,97.35705725,,,,True,,,,,,ESPN,https://lm-api-reads.fantasy.espn.com/apis/v3/games/ffl/seasons/2024/segments/0/leaguedefaults/1?scoringPeriodId=0&view=kona_player_info
