def_sack,def_int,def_fum,def_td,def_sfty,fpts,source,source_url,def_tkl,def_fum_rec,def_fum_forced,def_pts_allowed,def_pts_allowed_per_game,pass_yd_allowed,rush_yd_allowed,total_yd_allowed,total_yd_allowed_per_game,fp_per_game,gp,fpts_halfppr_adjust,pts_allow,yds_allow,fpts_ci,rank_pos,def_yd_allowed,src_player_name,sleeper_id,full_name,team,position
39.8,13.0,,2.5,0.0,132.8,CBS,https://www.cbssports.com/fantasy/football/stats/DST/2024/restofseason/projections/nonppr/,679.0,9.0,12.0,435.0,25.6,0.0,1758.0,5474.0,322.0,7.8,,,,,,,,L.A. Rams,LAR,Los Angeles Rams,LAR,DEF
51.3,12.0,,2.7,0.0,119.5,CBS,https://www.cbssports.com/fantasy/football/stats/DST/2024/restofseason/projections/nonppr/,693.0,14.0,19.0,484.0,28.5,0.0,1863.0,5472.0,321.9,7.0,,,,,,,,Washington,WAS,Washington Commanders,WAS,DEF
42.84131656,14.55574597,,,,127.53172272199998,ESPN,https://lm-api-reads.fantasy.espn.com/apis/v3/games/ffl/seasons/2024/segments/0/leaguedefaults/1?scoringPeriodId=0&view=kona_player_info,1061.96223,8.908399202,11.80983532,,,,,,,,,,,,,,,49ers D/ST,SF,San Francisco 49ers,SF,DEF
39.86899862,13.73883973,,,,117.53774376100002,ESPN,https://lm-api-reads.fantasy.espn.com/apis/v3/games/ffl/seasons/2024/segments/0/leaguedefaults/1?scoringPeriodId=0&view=kona_player_info,1018.612328,8.803477999,9.741720845,,,,,,,,,,,,,,,Saints D/ST,NO,New Orleans Saints,NO,DEF
41.47946413,13.3846577,,,,113.31891805499995,ESPN,https://lm-api-reads.fantasy.espn.com/apis/v3/games/ffl/seasons/2024/segments/0/leaguedefaults/1?scoringPeriodId=0&view=kona_player_info,1043.575503,9.178768447,10.67537094,,,,,,,,,,,,,,,Jaguars D/ST,JAX,Jacksonville Jaguars,JAX,DEF
44.64874394,13.38349193,,,,115.64732272799998,ESPN,https://lm-api-reads.fantasy.espn.com/apis/v3/games/ffl/seasons/2024/segments/0/leaguedefaults/1?scoringPeriodId=0&view=kona_player_info,1025.511308,9.280605555,13.13033653,,,,,,,,,,,,,,,Bengals D/ST,CIN,Cincinnati Bengals,CIN,DEF
44.10053863,13.09305429,,,,104.23607568999998,ESPN,https://lm-api-reads.fantasy.espn.com/apis/v3/games/ffl/seasons/2024/segments/0/leaguedefaults/1?scoringPeriodId=0&view=kona_player_info,1033.088279,8.935836655,13.63813367,,,,,,,,,,,,,,,Chiefs D/ST,KC,Kansas City Chiefs,KC,DEF
40.72712781,13.52667232,,,,92.32957438299998,ESPN,https://lm-api-reads.fantasy.espn.com/apis/v3/games/ffl/seasons/2024/segments/0/leaguedefaults/1?scoringPeriodId=0&view=kona_player_info,1090.614223,9.152503277,14.50606241,,,,,,,,,,,,,,,Colts D/ST,IND,Indianapolis Colts,IND,DEF
46.738703,15.04125559,,,,89.48168557999996,ESPN,https://lm-api-reads.fantasy.espn.com/apis/v3/games/ffl/seasons/2024/segments/0/leaguedefaults/1?scoringPeriodId=0&view=kona_player_info,1038.488431,9.141199696,11.45738297,,,,,,,,,,,,,,,Eagles D/ST,PHI,Philadelphia Eagles,PHI,DEF
41.72699405,13.56399425,,,,77.89799102200001,ESPN,https://lm-api-reads.fantasy.espn.com/apis/v3/games/ffl/seasons/2024/segments/0/leaguedefaults/1?scoringPeriodId=0&view=kona_player_info,1043.446416,8.920494876,15.08074527,,,,,,,,,,,,,,,Chargers D/ST,LAC,Los Angeles Chargers,LAC,DEF
40.00257319,13.90984526,,,,64.001845094,ESPN,https://lm-api-reads.fantasy.espn.com/apis/v3/games/ffl/seasons/2024/segments/0/leaguedefaults/1?scoringPeriodId=0&view=kona_player_info,1052.834486,8.859036851,12.02924534,,,,,,,,,,,,,,,Rams D/ST,LAR,Los Angeles Rams,LAR,DEF
35.23313802,12.76038723,,,,62.950601265,ESPN,https://lm-api-reads.fantasy.espn.com/apis/v3/games/ffl/seasons/2024/segments/0/leaguedefaults/1?scoringPeriodId=0&view=kona_player_info,1043.840133,8.722008169,11.91442394,,,,,,,,,,,,,,,Patriots D/ST,NE,New England Patriots,NE,DEF
47.0,14.0,,3.0,1.0,143.0,NFL,https://fantasy.nfl.com/research/projections?position=8&count=42&sort=projectedPts&statCategory=projectedStats&statSeason=2024&statType=seasonProjectedStats,,10.0,,312.0,,,,,,,17.0,False,,,,,,Baltimore Ravens DEF,BAL,Baltimore Ravens,BAL,DEF
48.0,16.0,,3.0,1.0,139.0,NFL,https://fantasy.nfl.com/research/projections?position=8&count=42&sort=projectedPts&statCategory=projectedStats&statSeason=2024&statType=seasonProjectedStats,,10.0,,341.0,,,,,,,17.0,False,,,,,,New York Jets DEF,NYJ,New York Jets,NYJ,DEF
47.0,15.0,,3.0,1.0,138.0,NFL,https://fantasy.nfl.com/research/projections?position=8&count=42&sort=projectedPts&statCategory=projectedStats&statSeason=2024&statType=seasonProjectedStats,,10.0,,315.0,,,,,,,17.0,False,,,,,,Dallas Cowboys DEF,DAL,Dallas Cowboys,DAL,DEF
47.0,14.0,,3.0,1.0,136.0,NFL,https://fantasy.nfl.com/research/projections?position=8&count=42&sort=projectedPts&statCategory=projectedStats&statSeason=2024&statType=seasonProjectedStats,,10.0,,316.0,,,,,,,17.0,False,,,,,,San Francisco 49ers DEF,SF,San Francisco 49ers,SF,DEF
45.0,14.0,,3.0,1.0,132.0,NFL,https://fantasy.nfl.com/research/projections?position=8&count=42&sort=projectedPts&statCategory=projectedStats&statSeason=2024&statType=seasonProjectedStats,,10.0,,331.0,,,,,,,17.0,False,,,,,,Kansas City Chiefs DEF,KC,Kansas City Chiefs,KC,DEF
45.0,13.0,,3.0,1.0,128.0,NFL,https://fantasy.nfl.com/research/projections?position=8&count=42&sort=projectedPts&statCategory=projectedStats&statSeason=2024&statType=seasonProjectedStats,,9.0,,335.0,,,,,,,17.0,False,,,,,,Pittsburgh Steelers DEF,PIT,Pittsburgh Steelers,PIT,DEF
