rush_att,rush_yd,rush_td,rec_tgt,rec_rcpt,rec_yd,rec_td,fumbles_lost,fpts,source,source_url,gp,rush_yd_per_rsh,rec_yd_per_game,rec_yd_per_rcpt,fp_per_game,fpts_halfppr_adjust,pass_yd,pass_td,pass_int,rec_yds,fpts_ci,rank_overall,rank_pos,src_player_name,sleeper_id,full_name,team,position
88.2,400.0,2.7,57.6,41.4,231.0,0.0,0.0,99.9,FantasySharks,https://www.fantasysharks.com/apps/bert/forecasts/projections.php?csv=1&Sort=&Segment=810&Position=2&scoring=18&League=-1&uid=4&uid2=&printable=,,,,,,,,,,,,,,Roschon Johnson,10235,Roschon Johnson,CHI,RB
128.7,525.0,0.9,43.0,28.2,193.0,1.4,1.2,97.1,FantasySharks,https://www.fantasysharks.com/apps/bert/forecasts/projections.php?csv=1&Sort=&Segment=810&Position=2&scoring=18&League=-1&uid=4&uid2=&printable=,,,,,,,,,,,,,,Alexander Mattison,5987,Alexander Mattison,LV,RB
133.3,800.0,0.0,17.9,16.4,78.0,0.0,0.0,96.0,FantasySharks,https://www.fantasysharks.com/apps/bert/forecasts/projections.php?csv=1&Sort=&Segment=810&Position=2&scoring=18&League=-1&uid=4&uid2=&printable=,,,,,,,,,,,,,,J.K. Dobbins,6806,J.K. Dobbins,LAC,RB
86.0,417.0,2.4,40.7,32.9,230.0,0.0,0.6,95.5,FantasySharks,https://www.fantasysharks.com/apps/bert/forecasts/projections.php?csv=1&Sort=&Segment=810&Position=2&scoring=18&League=-1&uid=4&uid2=&printable=,,,,,,,,,,,,,,Kenneth Gainwell,7567,Kenneth Gainwell,PHI,RB
84.4,387.0,1.1,45.1,36.0,216.0,0.9,0.2,90.3,FantasySharks,https://www.fantasysharks.com/apps/bert/forecasts/projections.php?csv=1&Sort=&Segment=810&Position=2&scoring=18&League=-1&uid=4&uid2=&printable=,,,,,,,,,,,,,,Jaleel McLaughlin,11439,Jaleel McLaughlin,DEN,RB
44.8,174.0,0.2,59.2,49.0,446.0,0.0,1.1,85.7,FantasySharks,https://www.fantasysharks.com/apps/bert/forecasts/projections.php?csv=1&Sort=&Segment=810&Position=2&scoring=18&League=-1&uid=4&uid2=&printable=,,,,,,,,,,,,,,Samaje Perine,4147,Samaje Perine,DEN,RB
94.4,415.0,1.0,50.2,36.8,187.0,0.0,0.0,84.6,FantasySharks,https://www.fantasysharks.com/apps/bert/forecasts/projections.php?csv=1&Sort=&Segment=810&Position=2&scoring=18&League=-1&uid=4&uid2=&printable=,,,,,,,,,,,,,,Emari Demercado,11199,Emari Demercado,ARI,RB
94.1,417.0,0.5,38.6,33.2,218.0,0.2,0.2,83.9,FantasySharks,https://www.fantasysharks.com/apps/bert/forecasts/projections.php?csv=1&Sort=&Segment=810&Position=2&scoring=18&League=-1&uid=4&uid2=&printable=,,,,,,,,,,,,,,Zach Charbonnet,9753,Zach Charbonnet,SEA,RB
135.1,409.0,2.8,27.9,25.1,117.0,0.0,0.0,82.1,FantasySharks,https://www.fantasysharks.com/apps/bert/forecasts/projections.php?csv=1&Sort=&Segment=810&Position=2&scoring=18&League=-1&uid=4&uid2=&printable=,,,,,,,,,,,,,,Jamaal Williams,4149,Jamaal Williams,NO,RB
85.2,406.0,0.0,50.6,37.3,199.0,0.0,0.8,79.7,FantasySharks,https://www.fantasysharks.com/apps/bert/forecasts/projections.php?csv=1&Sort=&Segment=810&Position=2&scoring=18&League=-1&uid=4&uid2=&printable=,,,,,,,,,,,,,,Audric Estime,11579,Audric Estime,DEN,RB
83.5,365.0,2.0,29.1,21.8,179.0,0.7,1.1,79.5,FantasySharks,https://www.fantasysharks.com/apps/bert/forecasts/projections.php?csv=1&Sort=&Segment=810&Position=2&scoring=18&League=-1&uid=4&uid2=&printable=,,,,,,,,,,,,,,Ray Davis,11575,Ray Davis,BUF,RB
75.6,298.0,0.9,35.2,26.2,235.0,1.3,0.9,77.4,FantasySharks,https://www.fantasysharks.com/apps/bert/forecasts/projections.php?csv=1&Sort=&Segment=810&Position=2&scoring=18&League=-1&uid=4&uid2=&printable=,,,,,,,,,,,,,,Deneric Prince,10870,Deneric Prince,KC,RB
85.9,306.0,1.7,27.9,22.4,133.0,1.8,0.4,75.4,FantasySharks,https://www.fantasysharks.com/apps/bert/forecasts/projections.php?csv=1&Sort=&Segment=810&Position=2&scoring=18&League=-1&uid=4&uid2=&printable=,,,,,,,,,,,,,,Cam Akers,6938,Cam Akers,HOU,RB
