Rank,Player ID,Player Name,Team,Position,Att,Comp,Pass Yds,Pass TDs,0-9 PassTDs,10-19 PassTDs,20-29 PassTDs,30-39 PassTDs,40-49 PassTDs,50+ PassTDs,Int,Sacked,>= 250yds,>= 300yds,>= 350yds,Rush,Rush Yds,Rush TDs,Fum Lost,Scoring Opps,Pts,pos,source,source_url
14,12611,"Goff, Jared",DET,QB,586.8,390.2,4411.0,27.2,13.8,4.7,3.8,1.6,1.9,1.4,8.4,25.9,12.3,4.3,1.3,27.8,35.0,0.9,2.6,69.4,327.7,QB,FantasySharks,https://www.fantasysharks.com/apps/bert/forecasts/projections.php?csv=1&Sort=&Position=1&scoring=18
15,7836,"Rodgers, Aaron",NYJ,QB,497.0,330.0,3807.0,32.0,11.1,8.6,7.0,0.8,2.0,2.5,14.0,48.0,3.5,1.9,0.8,41.7,167.0,1.0,4.8,49.0,324.4,QB,FantasySharks,https://www.fantasysharks.com/apps/bert/forecasts/projections.php?csv=1&Sort=&Position=1&scoring=18
16,14779,"Herbert, Justin",LAC,QB,629.4,418.8,4178.0,20.7,10.2,5.6,0.3,2.9,0.0,1.7,8.6,43.4,11.5,2.8,1.2,76.0,325.0,2.1,3.8,65.5,322.6,QB,FantasySharks,https://www.fantasysharks.com/apps/bert/forecasts/projections.php?csv=1&Sort=&Position=1&scoring=18
17,11150,"Smith, Geno",SEA,QB,539.7,358.4,3987.0,25.9,9.9,6.7,3.3,3.7,0.5,1.8,9.8,38.7,10.3,3.1,1.1,49.1,260.0,0.9,3.4,53.8,320.6,QB,FantasySharks,https://www.fantasysharks.com/apps/bert/forecasts/projections.php?csv=1&Sort=&Position=1&scoring=18
18,13113,"Watson, Deshaun",CLE,QB,586.2,346.1,3878.0,23.9,9.0,6.8,1.8,2.7,2.3,1.3,16.8,49.7,5.1,2.6,1.1,81.8,392.0,2.3,3.9,56.9,317.9,QB,FantasySharks,https://www.fantasysharks.com/apps/bert/forecasts/projections.php?csv=1&Sort=&Position=1&scoring=18
19,16579,"Williams, Caleb",CHI,QB,432.4,266.8,2945.0,16.1,7.0,3.5,2.4,1.9,0.4,0.8,11.1,49.2,3.5,2.0,0.8,151.1,894.0,5.9,4.1,57.4,317.3,QB,FantasySharks,https://www.fantasysharks.com/apps/bert/forecasts/projections.php?csv=1&Sort=&Position=1&scoring=18
20,14059,"Jones, Daniel",NYG,QB,526.9,347.2,3556.0,15.3,7.8,2.9,0.8,1.0,0.6,2.2,10.3,72.3,4.3,2.4,1.0,128.1,698.0,3.6,2.8,46.5,315.9,QB,FantasySharks,https://www.fantasysharks.com/apps/bert/forecasts/projections.php?csv=1&Sort=&Position=1&scoring=18
21,13590,"Mayfield, Baker",TBB,QB,557.0,360.6,3928.0,27.2,11.5,3.0,6.4,1.8,2.6,2.0,10.4,39.6,8.8,2.6,1.1,54.5,122.0,1.0,3.1,65.2,309.6,QB,FantasySharks,https://www.fantasysharks.com/apps/bert/forecasts/projections.php?csv=1&Sort=&Position=1&scoring=18
22,9431,"Stafford, Matthew",LAR,QB,559.7,357.5,4116.0,25.1,15.4,2.5,3.0,0.7,0.0,3.6,11.7,40.0,9.9,3.2,1.2,33.3,85.0,1.0,2.0,76.7,306.8,QB,FantasySharks,https://www.fantasysharks.com/apps/bert/forecasts/projections.php?csv=1&Sort=&Position=1&scoring=18
23,16581,"Daniels, Jayden",WAS,QB,576.8,367.7,3848.0,20.1,8.8,5.1,1.9,2.7,0.4,1.1,17.9,54.2,4.6,2.6,1.1,52.7,248.0,5.3,3.8,68.7,305.6,QB,FantasySharks,https://www.fantasysharks.com/apps/bert/forecasts/projections.php?csv=1&Sort=&Position=1&scoring=18
24,16582,"Nix, Bo",DEN,QB,489.1,313.1,3438.0,20.4,8.3,4.4,4.0,0.4,1.5,1.7,10.2,56.0,4.1,2.3,1.0,83.5,299.0,3.4,3.6,56.6,289.8,QB,FantasySharks,https://www.fantasysharks.com/apps/bert/forecasts/projections.php?csv=1&Sort=&Position=1&scoring=18
25,10700,"Cousins, Kirk",ATL,QB,494.0,313.9,3634.0,21.8,8.2,2.4,4.3,2.6,0.0,4.4,15.2,28.4,4.4,2.4,1.0,50.6,203.0,3.1,4.1,61.5,287.2,QB,FantasySharks,https://www.fantasysharks.com/apps/bert/forecasts/projections.php?csv=1&Sort=&Position=1&scoring=18
26,11644,"Carr, Derek",NOS,QB,507.6,342.6,3733.0,26.6,12.2,3.8,3.6,4.4,1.8,0.9,11.0,29.8,6.3,2.5,1.1,31.9,47.0,0.0,1.7,52.7,286.7,QB,FantasySharks,https://www.fantasysharks.com/apps/bert/forecasts/projections.php?csv=1&Sort=&Position=1&scoring=18
27,10703,"Wilson, Russell",PIT,QB,452.0,301.3,3179.0,20.9,8.8,5.3,2.3,0.0,1.7,2.8,9.1,43.8,3.8,2.1,0.9,77.7,231.0,3.5,4.5,59.5,273.4,QB,FantasySharks,https://www.fantasysharks.com/apps/bert/forecasts/projections.php?csv=1&Sort=&Position=1&scoring=18
28,16149,"Levis, Will",TEN,QB,519.2,314.1,3655.0,13.1,6.7,1.7,1.8,0.4,1.7,0.7,10.7,63.6,4.4,2.4,1.0,55.9,202.0,2.5,6.4,48.7,250.8,QB,FantasySharks,https://www.fantasysharks.com/apps/bert/forecasts/projections.php?csv=1&Sort=&Position=1&scoring=18
