Rank,Player ID,Player Name,Team,Position,Rush,Rush Yds,Rush TDs,0-9 RushTDs,10-19 RushTDs,20-29 RushTDs,30-39 RushTDs,40-49 RushTDs,50+ RushTDs,>= 50yds,>= 100yds,Tgt,RZTgt,Rec,Rec Yds,Rec TDs,>= 50yds.1,>= 100yds.1,Kick Ret Yds,Fum Lost,Scoring Opps,Pts,pos,source,source_url
91,16610,"Wright, Jaylen",MIA,RB,29.7,126.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.3,22.5,1.9,12.8,88.0,0.0,0.4,0.2,4.0,0.0,2.1,28.0,RB,FantasySharks,https://www.fantasysharks.com/apps/bert/forecasts/projections.php?csv=1&Sort=&Position=2&scoring=18
92,11225,"Patterson, Cordarrelle",PIT,RB,35.0,124.0,0.7,0.7,0.0,0.0,0.0,0.0,0.0,0.5,0.2,11.0,2.6,7.3,28.0,0.8,0.1,0.1,266.0,0.0,6.0,27.8,RB,FantasySharks,https://www.fantasysharks.com/apps/bert/forecasts/projections.php?csv=1&Sort=&Position=2&scoring=18
93,13726,"Edmonds, Chase",TBB,RB,48.4,148.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.3,16.1,0.0,12.7,63.0,0.0,0.3,0.1,0.0,0.0,0.0,27.5,RB,FantasySharks,https://www.fantasysharks.com/apps/bert/forecasts/projections.php?csv=1&Sort=&Position=2&scoring=18
94,16171,"Miller, Kendre",NOS,RB,29.1,90.0,0.7,0.7,0.0,0.0,0.0,0.0,0.0,0.4,0.2,11.2,0.0,10.8,86.0,0.0,0.3,0.2,30.0,0.0,1.6,27.0,RB,FantasySharks,https://www.fantasysharks.com/apps/bert/forecasts/projections.php?csv=1&Sort=&Position=2&scoring=18
95,12923,"Ham, C.J.",MIN,RB,3.1,2.0,1.5,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.5,1.5,16.4,82.0,0.0,0.3,0.2,0.0,0.0,3.1,25.7,RB,FantasySharks,https://www.fantasysharks.com/apps/bert/forecasts/projections.php?csv=1&Sort=&Position=2&scoring=18
96,16164,"Bigsby, Tank",JAC,RB,59.9,143.0,1.7,1.7,0.0,0.0,0.0,0.0,0.0,0.6,0.3,7.2,0.0,1.9,24.0,0.0,0.1,0.1,95.0,1.4,2.8,24.9,RB,FantasySharks,https://www.fantasysharks.com/apps/bert/forecasts/projections.php?csv=1&Sort=&Position=2&scoring=18
97,15462,"Brightwell, Gary",FA,RB,31.7,92.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.2,15.7,1.8,10.6,96.0,0.0,0.4,0.2,252.0,0.0,1.5,24.1,RB,FantasySharks,https://www.fantasysharks.com/apps/bert/forecasts/projections.php?csv=1&Sort=&Position=2&scoring=18
98,16746,"Ali, Rasheen",BAL,RB,47.7,179.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7,0.4,11.8,2.0,7.4,57.0,0.1,0.2,0.1,71.0,2.5,4.6,23.9,RB,FantasySharks,https://www.fantasysharks.com/apps/bert/forecasts/projections.php?csv=1&Sort=&Position=2&scoring=18
99,16688,"Guerendo, Isaac",SFO,RB,32.7,132.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.3,9.9,1.7,7.3,65.0,0.0,0.3,0.1,11.0,0.0,0.0,23.5,RB,FantasySharks,https://www.fantasysharks.com/apps/bert/forecasts/projections.php?csv=1&Sort=&Position=2&scoring=18
100,15726,"Rivers, Ronnie",LAR,RB,52.8,162.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.3,8.3,1.0,7.2,35.0,0.0,0.1,0.1,20.0,0.0,1.0,23.3,RB,FantasySharks,https://www.fantasysharks.com/apps/bert/forecasts/projections.php?csv=1&Sort=&Position=2&scoring=18
