Rank,Player ID,Player Name,Team,Position,Tgt,RZTgt,Rec,Rec Yds,Rec TDs,0-9 RecTDs,10-19 RecTDs,20-29 RecTDs,30-39 RecTDs,40-49 RecTDs,50+ RecTDs,>= 50yds,>= 100yds,>= 150yds,>= 200yds,Rush Yds,Rush TDs,Kick Ret Yds,Fum Lost,Scoring Opps,Pts,pos,source,source_url
11,15329,"Pitts, Kyle",ATL,TE,117.1,8.7,63.0,800.0,4.6,2.3,0.0,1.2,1.1,0.0,0.0,3.2,1.6,0.5,0.2,-2.6,0.0,0.0,0.0,9.2,139.0,TE,FantasySharks,https://www.fantasysharks.com/apps/bert/forecasts/projections.php?csv=1&Sort=&Position=5&scoring=18
12,13772,"Schultz, Dalton",HOU,TE,99.3,13.7,63.9,706.0,5.5,2.4,1.8,1.3,0.0,0.0,0.0,2.8,1.4,0.5,0.2,0.0,0.0,0.0,0.5,9.6,134.7,TE,FantasySharks,https://www.fantasysharks.com/apps/bert/forecasts/projections.php?csv=1&Sort=&Position=5&scoring=18
13,13674,"Goedert, Dallas",PHI,TE,100.3,13.9,71.7,720.0,3.8,2.5,1.3,0.0,0.0,0.0,0.0,2.9,1.4,0.5,0.2,1.0,0.0,0.0,0.6,7.1,129.4,TE,FantasySharks,https://www.fantasysharks.com/apps/bert/forecasts/projections.php?csv=1&Sort=&Position=5&scoring=18
14,16213,"Kincaid, Dalton",BUF,TE,102.3,10.1,75.2,725.0,3.0,0.5,0.5,1.9,0.0,0.0,0.0,2.9,1.4,0.5,0.2,0.0,0.0,0.0,0.9,8.6,127.0,TE,FantasySharks,https://www.fantasysharks.com/apps/bert/forecasts/projections.php?csv=1&Sort=&Position=5&scoring=18
15,12676,"Henry, Hunter",NEP,TE,76.5,8.8,50.2,543.0,5.6,1.9,1.8,0.9,1.0,0.0,0.0,2.2,1.1,0.4,0.1,0.0,0.0,0.0,0.0,10.0,112.9,TE,FantasySharks,https://www.fantasysharks.com/apps/bert/forecasts/projections.php?csv=1&Sort=&Position=5&scoring=18
16,16215,"Musgrave, Luke",GBP,TE,69.1,10.9,51.9,569.0,3.7,2.5,0.0,1.2,0.0,0.0,0.0,2.3,1.1,0.4,0.1,0.0,0.0,0.0,0.0,6.5,105.1,TE,FantasySharks,https://www.fantasysharks.com/apps/bert/forecasts/projections.php?csv=1&Sort=&Position=5&scoring=18
17,15889,"Okonkwo, Chigoziem",TEN,TE,79.8,7.5,56.7,620.0,2.1,0.0,1.5,0.5,0.0,0.0,0.0,2.5,1.2,0.4,0.2,7.0,0.0,0.0,0.0,6.4,104.6,TE,FantasySharks,https://www.fantasysharks.com/apps/bert/forecasts/projections.php?csv=1&Sort=&Position=5&scoring=18
18,15331,"Freiermuth, Pat",PIT,TE,89.9,12.2,57.6,604.0,1.7,0.6,1.1,0.0,0.0,0.0,0.0,2.4,1.2,0.4,0.2,0.0,0.0,0.0,0.0,7.1,101.2,TE,FantasySharks,https://www.fantasysharks.com/apps/bert/forecasts/projections.php?csv=1&Sort=&Position=5&scoring=18
19,14861,"Johnson, Juwan",NOS,TE,55.9,7.8,37.0,419.0,5.7,2.8,1.0,1.3,0.2,0.5,0.0,1.7,0.8,0.3,0.1,19.0,0.4,0.0,0.0,7.7,98.9,TE,FantasySharks,https://www.fantasysharks.com/apps/bert/forecasts/projections.php?csv=1&Sort=&Position=5&scoring=18
20,13675,"Conklin, Tyler",NYJ,TE,92.5,8.3,61.5,613.0,0.4,0.4,0.0,0.0,0.0,0.0,0.0,2.5,1.2,0.4,0.2,2.0,0.0,0.0,0.0,7.8,94.4,TE,FantasySharks,https://www.fantasysharks.com/apps/bert/forecasts/projections.php?csv=1&Sort=&Position=5&scoring=18
21,14137,"Fant, Noah",SEA,TE,60.7,8.2,44.0,495.0,3.2,2.0,1.2,0.0,0.0,0.0,0.0,2.0,1.0,0.3,0.1,0.0,0.0,0.0,0.0,5.8,90.7,TE,FantasySharks,https://www.fantasysharks.com/apps/bert/forecasts/projections.php?csv=1&Sort=&Position=5&scoring=18
22,13193,"Smith, Jonnu",MIA,TE,68.6,7.7,51.6,558.0,1.8,0.7,1.1,0.0,0.0,0.0,0.0,2.2,1.1,0.4,0.1,0.0,0.0,0.0,0.9,5.7,90.4,TE,FantasySharks,https://www.fantasysharks.com/apps/bert/forecasts/projections.php?csv=1&Sort=&Position=5&scoring=18
23,15798,"Likely, Isaiah",BAL,TE,62.1,10.8,38.6,444.0,4.1,1.6,1.0,0.7,0.7,0.0,0.1,1.8,0.9,0.3,0.1,0.0,0.0,0.0,0.0,9.7,88.2,TE,FantasySharks,https://www.fantasysharks.com/apps/bert/forecasts/projections.php?csv=1&Sort=&Position=5&scoring=18
24,15802,"Otton, Cade",TBB,TE,77.7,15.0,45.9,439.0,3.4,2.2,1.3,0.0,0.0,0.0,0.0,1.8,0.9,0.3,0.1,0.0,0.0,0.0,0.4,9.8,87.9,TE,FantasySharks,https://www.fantasysharks.com/apps/bert/forecasts/projections.php?csv=1&Sort=&Position=5&scoring=18
