player,team,pos,rush_att,rush_yd,rush_td,rec_tgt,rec_rcpt,rec_yd,rec_td,fumbles_lost,fpts,source,source_url
Mike Boone,CAR,RB,4.5,13.0,0.0,6.3,5.0,27.0,0.0,0.0,6.5,FantasySharks,https://www.fantasysharks.com/apps/bert/forecasts/projections.php?csv=1&Sort=&Position=2&scoring=18
Jase McClellan,ATL,RB,4.7,26.0,0.0,4.3,3.6,20.0,0.0,0.0,6.4,FantasySharks,https://www.fantasysharks.com/apps/bert/forecasts/projections.php?csv=1&Sort=&Position=2&scoring=18
Jawhar Jordan,HOU,RB,11.6,20.0,0.0,7.8,4.6,9.0,0.0,0.0,5.2,FantasySharks,https://www.fantasysharks.com/apps/bert/forecasts/projections.php?csv=1&Sort=&Position=2&scoring=18
JaMycal Hasty,NEP,RB,3.7,21.0,0.0,7.1,1.8,12.0,0.0,0.0,4.3,FantasySharks,https://www.fantasysharks.com/apps/bert/forecasts/projections.php?csv=1&Sort=&Position=2&scoring=18
Patrick Ricard,BAL,RB,4.8,6.0,0.0,3.2,3.2,21.0,0.0,0.0,4.2,FantasySharks,https://www.fantasysharks.com/apps/bert/forecasts/projections.php?csv=1&Sort=&Position=2&scoring=18
Chris Evans,CIN,RB,1.0,3.0,0.0,0.6,0.6,6.0,0.5,0.0,4.2,FantasySharks,https://www.fantasysharks.com/apps/bert/forecasts/projections.php?csv=1&Sort=&Position=2&scoring=18
Adam Prentice,NOS,RB,6.7,22.0,0.0,8.3,6.2,27.0,0.0,2.1,3.7,FantasySharks,https://www.fantasysharks.com/apps/bert/forecasts/projections.php?csv=1&Sort=&Position=2&scoring=18
Michael Burton,DEN,RB,6.8,10.0,0.0,2.2,2.2,5.0,0.0,0.0,3.1,FantasySharks,https://www.fantasysharks.com/apps/bert/forecasts/projections.php?csv=1&Sort=&Position=2&scoring=18
Keith Smith,ATL,RB,0.0,0.0,0.0,2.1,2.1,20.0,0.0,0.0,3.0,FantasySharks,https://www.fantasysharks.com/apps/bert/forecasts/projections.php?csv=1&Sort=&Position=2&scoring=18
Damien Williams,ARI,RB,4.6,17.0,0.0,0.4,0.4,3.0,0.0,0.0,2.2,FantasySharks,https://www.fantasysharks.com/apps/bert/forecasts/projections.php?csv=1&Sort=&Position=2&scoring=18
Dylan Laube,LVR,RB,4.5,14.0,0.0,0.9,0.0,0.0,0.0,0.0,1.4,FantasySharks,https://www.fantasysharks.com/apps/bert/forecasts/projections.php?csv=1&Sort=&Position=2&scoring=18
Tyrion Davis-Price,PHI,RB,4.1,14.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4,FantasySharks,https://www.fantasysharks.com/apps/bert/forecasts/projections.php?csv=1&Sort=&Position=2&scoring=18
Julius Chestnut,TEN,RB,2.0,5.0,0.0,1.0,1.0,4.0,0.0,0.0,1.3,FantasySharks,https://www.fantasysharks.com/apps/bert/forecasts/projections.php?csv=1&Sort=&Position=2&scoring=18
Reggie Gilliam,BUF,RB,0.0,0.0,0.0,0.6,0.6,7.0,0.0,0.0,1.0,FantasySharks,https://www.fantasysharks.com/apps/bert/forecasts/projections.php?csv=1&Sort=&Position=2&scoring=18
Troy Hairston,HOU,RB,0.0,0.0,0.0,6.0,1.2,4.0,0.0,0.0,1.0,FantasySharks,https://www.fantasysharks.com/apps/bert/forecasts/projections.php?csv=1&Sort=&Position=2&scoring=18
Jonathan Ward,PIT,RB,0.9,-0.4,0.0,1.8,0.9,3.0,0.0,0.0,0.7,FantasySharks,https://www.fantasysharks.com/apps/bert/forecasts/projections.php?csv=1&Sort=&Position=2&scoring=18
Eno Benjamin,NOS,RB,6.2,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,FantasySharks,https://www.fantasysharks.com/apps/bert/forecasts/projections.php?csv=1&Sort=&Position=2&scoring=18
Jeremy McNichols,WAS,RB,1.3,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,FantasySharks,https://www.fantasysharks.com/apps/bert/forecasts/projections.php?csv=1&Sort=&Position=2&scoring=18
Sean Tucker,TBB,RB,5.2,3.0,0.0,0.1,0.1,0.0,0.0,0.0,0.3,FantasySharks,https://www.fantasysharks.com/apps/bert/forecasts/projections.php?csv=1&Sort=&Position=2&scoring=18
Myles Gaskin,MIN,RB,6.5,4.0,0.0,0.1,0.0,0.0,0.0,0.1,0.3,FantasySharks,https://www.fantasysharks.com/apps/bert/forecasts/projections.php?csv=1&Sort=&Position=2&scoring=18
Jashaun Corbin,NYG,RB,0.1,0.1,0.0,0.3,0.3,1.0,0.0,0.0,0.3,FantasySharks,https://www.fantasysharks.com/apps/bert/forecasts/projections.php?csv=1&Sort=&Position=2&scoring=18
Zach Evans,LAR,RB,3.2,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,FantasySharks,https://www.fantasysharks.com/apps/bert/forecasts/projections.php?csv=1&Sort=&Position=2&scoring=18
Elijah Dotson,LAC,RB,0.2,0.0,0.0,0.1,0.1,1.0,0.0,0.0,0.1,FantasySharks,https://www.fantasysharks.com/apps/bert/forecasts/projections.php?csv=1&Sort=&Position=2&scoring=18
Isaiah Davis,NYJ,RB,8.2,-2.7,0.0,0.3,0.3,2.0,0.0,0.0,0.1,FantasySharks,https://www.fantasysharks.com/apps/bert/forecasts/projections.php?csv=1&Sort=&Position=2&scoring=18
Lamical Perine,PIT,RB,0.1,0.0,0.0,0.1,0.1,0.0,0.0,0.0,0.1,FantasySharks,https://www.fantasysharks.com/apps/bert/forecasts/projections.php?csv=1&Sort=&Position=2&scoring=18
Dwayne Washington,DEN,RB,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,FantasySharks,https://www.fantasysharks.com/apps/bert/forecasts/projections.php?csv=1&Sort=&Position=2&scoring=18
George Holani,SEA,RB,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,FantasySharks,https://www.fantasysharks.com/apps/bert/forecasts/projections.php?csv=1&Sort=&Position=2&scoring=18
Austin Walter,LVR,RB,0.1,-0.6,0.0,0.0,0.0,0.0,0.0,0.0,-0.1,FantasySharks,https://www.fantasysharks.com/apps/bert/forecasts/projections.php?csv=1&Sort=&Position=2&scoring=18
Brittain Brown,LVR,RB,0.1,-0.6,0.0,0.0,0.0,0.0,0.0,0.0,-0.1,FantasySharks,https://www.fantasysharks.com/apps/bert/forecasts/projections.php?csv=1&Sort=&Position=2&scoring=18
Deneric Prince,KCC,RB,1.2,-1.2,0.0,0.0,0.0,0.0,0.0,0.0,-0.1,FantasySharks,https://www.fantasysharks.com/apps/bert/forecasts/projections.php?csv=1&Sort=&Position=2&scoring=18
Keilan Robinson,JAC,RB,2.5,-5.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.5,FantasySharks,https://www.fantasysharks.com/apps/bert/forecasts/projections.php?csv=1&Sort=&Position=2&scoring=18
