player,team,pos,rec_tgt,rec_rcpt,rec_yd,rec_td,rush_yd,rush_td,fumbles_lost,fpts,source,source_url
Olamide Zaccheaus,WAS,WR,74.7,43.1,518.0,3.0,11.0,0.0,0.0,92.7,FantasySharks,https://www.fantasysharks.com/apps/bert/forecasts/projections.php?csv=1&Sort=&Segment=810&Position=4&scoring=18&League=-1&uid=4&uid2=&printable=
Elijah Moore,CLE,WR,101.4,53.4,586.0,1.0,30.0,0.0,1.5,91.1,FantasySharks,https://www.fantasysharks.com/apps/bert/forecasts/projections.php?csv=1&Sort=&Segment=810&Position=4&scoring=18&League=-1&uid=4&uid2=&printable=
Xavier Legette,CAR,WR,75.1,49.4,571.0,0.8,9.0,0.0,0.0,87.5,FantasySharks,https://www.fantasysharks.com/apps/bert/forecasts/projections.php?csv=1&Sort=&Segment=810&Position=4&scoring=18&League=-1&uid=4&uid2=&printable=
Nelson Agholor,BAL,WR,62.7,40.4,503.0,2.6,2.0,0.0,0.0,86.5,FantasySharks,https://www.fantasysharks.com/apps/bert/forecasts/projections.php?csv=1&Sort=&Segment=810&Position=4&scoring=18&League=-1&uid=4&uid2=&printable=
Rashod Bateman,BAL,WR,71.6,41.0,490.0,2.6,11.0,0.0,0.0,86.2,FantasySharks,https://www.fantasysharks.com/apps/bert/forecasts/projections.php?csv=1&Sort=&Segment=810&Position=4&scoring=18&League=-1&uid=4&uid2=&printable=
Kalif Raymond,DET,WR,53.9,36.6,545.0,1.5,32.0,0.0,0.2,84.7,FantasySharks,https://www.fantasysharks.com/apps/bert/forecasts/projections.php?csv=1&Sort=&Segment=810&Position=4&scoring=18&League=-1&uid=4&uid2=&printable=
Tutu Atwell,LAR,WR,67.1,34.7,413.0,2.7,33.0,0.8,0.0,84.3,FantasySharks,https://www.fantasysharks.com/apps/bert/forecasts/projections.php?csv=1&Sort=&Segment=810&Position=4&scoring=18&League=-1&uid=4&uid2=&printable=
Jalen Tolbert,DAL,WR,63.8,35.3,480.0,3.0,0.0,0.0,0.0,83.5,FantasySharks,https://www.fantasysharks.com/apps/bert/forecasts/projections.php?csv=1&Sort=&Segment=810&Position=4&scoring=18&League=-1&uid=4&uid2=&printable=
Jalen Nailor,MIN,WR,66.7,38.3,493.0,2.4,5.0,0.0,0.0,83.2,FantasySharks,https://www.fantasysharks.com/apps/bert/forecasts/projections.php?csv=1&Sort=&Segment=810&Position=4&scoring=18&League=-1&uid=4&uid2=&printable=
Jalin Hyatt,NYG,WR,64.7,44.1,560.0,0.5,16.0,0.0,0.0,83.0,FantasySharks,https://www.fantasysharks.com/apps/bert/forecasts/projections.php?csv=1&Sort=&Segment=810&Position=4&scoring=18&League=-1&uid=4&uid2=&printable=
Alec Pierce,IND,WR,74.9,34.4,510.0,2.3,1.0,0.0,0.0,82.1,FantasySharks,https://www.fantasysharks.com/apps/bert/forecasts/projections.php?csv=1&Sort=&Segment=810&Position=4&scoring=18&League=-1&uid=4&uid2=&printable=
Tyquan Thornton,NEP,WR,77.1,44.1,486.0,1.2,33.0,0.0,0.0,81.1,FantasySharks,https://www.fantasysharks.com/apps/bert/forecasts/projections.php?csv=1&Sort=&Segment=810&Position=4&scoring=18&League=-1&uid=4&uid2=&printable=
DJ Chark,LAC,WR,68.7,30.9,423.0,3.6,41.0,0.0,1.5,80.1,FantasySharks,https://www.fantasysharks.com/apps/bert/forecasts/projections.php?csv=1&Sort=&Segment=810&Position=4&scoring=18&League=-1&uid=4&uid2=&printable=
Greg Dortch,ARI,WR,82.4,42.5,423.0,1.7,53.0,0.0,0.0,78.9,FantasySharks,https://www.fantasysharks.com/apps/bert/forecasts/projections.php?csv=1&Sort=&Segment=810&Position=4&scoring=18&League=-1&uid=4&uid2=&printable=
Jalen McMillan,TBB,WR,94.5,48.0,458.0,1.3,17.0,0.0,0.3,78.7,FantasySharks,https://www.fantasysharks.com/apps/bert/forecasts/projections.php?csv=1&Sort=&Segment=810&Position=4&scoring=18&League=-1&uid=4&uid2=&printable=
Tre Tucker,LVR,WR,65.5,37.4,515.0,0.3,60.0,0.0,0.8,76.6,FantasySharks,https://www.fantasysharks.com/apps/bert/forecasts/projections.php?csv=1&Sort=&Segment=810&Position=4&scoring=18&League=-1&uid=4&uid2=&printable=
Josh Reynolds,DEN,WR,59.1,34.1,460.0,2.2,5.0,0.0,0.7,75.3,FantasySharks,https://www.fantasysharks.com/apps/bert/forecasts/projections.php?csv=1&Sort=&Segment=810&Position=4&scoring=18&League=-1&uid=4&uid2=&printable=
