rank,player,rec,rec_tgt,rec_yds,rec_yds_per_rec,rec_longest,rec_20_plus,rec_td,rush_att,rush_yds,rush_td,fumbles,g,fpts,fpts_per_game,rost,year,week,pos
62,Bear Pascoe (FA),0,0,0,0.0,0,0,0,0,0,0,0,1,0.0,0.0,0.0%,2010,12,te
63,Ben Hartsock (FA),0,0,0,0.0,0,0,0,0,0,0,0,1,0.0,0.0,0.0%,2010,12,te
64,Brandon Myers (FA),0,0,0,0.0,0,0,0,0,0,0,0,1,0.0,0.0,0.0%,2010,12,te
65,Brian Jennings (FA),0,0,0,0.0,0,0,0,0,0,0,0,1,0.0,0.0,0.0%,2010,12,te
66,Cameron Morrah (FA),0,2,0,0.0,0,0,0,0,0,0,0,1,0.0,0.0,0.0%,2010,12,te
67,Chase Coffman (FA),0,0,0,0.0,0,0,0,0,0,0,0,1,0.0,0.0,0.0%,2010,12,te
68,Delanie Walker (FA),0,1,0,0.0,0,0,0,0,0,0,0,1,0.0,0.0,0.1%,2010,12,te
69,Gary Barnidge (FA),0,0,0,0.0,0,0,0,0,0,0,0,1,0.0,0.0,0.1%,2010,12,te
70,David Thomas (FA),0,4,0,0.0,0,0,0,0,0,0,0,1,0.0,0.0,0.0%,2010,12,te
71,Craig Stevens (FA),0,0,0,0.0,0,0,0,0,0,0,0,1,0.0,0.0,0.0%,2010,12,te
72,David Johnson (FA),0,0,0,0.0,0,0,0,0,0,0,0,1,0.0,0.0,0.0%,2010,12,te
73,Stephen Spach (FA),0,1,0,0.0,0,0,0,0,0,0,0,1,0.0,0.0,0.0%,2010,12,te
74,Jeron Mastrud (FA),0,1,0,0.0,0,0,0,0,0,0,0,1,0.0,0.0,0.0%,2010,12,te
75,Zach Miller (FA),0,0,0,0.0,0,0,0,0,0,0,0,1,0.0,0.0,0.0%,2010,12,te
76,Zach Potter (FA),0,1,0,0.0,0,0,0,0,0,0,0,1,0.0,0.0,0.0%,2010,12,te
77,Dennis Pitta (FA),0,0,0,0.0,0,0,0,0,0,0,0,1,0.0,0.0,0.0%,2010,12,te
78,Scott Chandler (FA),0,0,0,0.0,0,0,0,0,0,0,0,1,0.0,0.0,0.0%,2010,12,te
79,Nate Byham (FA),0,0,0,0.0,0,0,0,0,0,0,0,1,0.0,0.0,0.0%,2010,12,te
80,Logan Paulsen (FA),0,0,0,0.0,0,0,0,0,0,0,0,1,0.0,0.0,0.0%,2010,12,te
81,Dorin Dickerson (FA),0,0,0,0.0,0,0,0,0,0,0,0,1,0.0,0.0,0.0%,2010,12,te
82,Tom Crabtree (FA),0,0,0,0.0,0,0,0,0,0,0,0,1,0.0,0.0,0.0%,2010,12,te
83,Garrett Graham (FA),0,0,0,0.0,0,0,0,0,0,0,0,1,0.0,0.0,0.0%,2010,12,te
84,Jim Dray (FA),0,0,0,0.0,0,0,0,0,0,0,0,1,0.0,0.0,0.0%,2010,12,te
1,Benjamin Watson (FA),10,11,100,10.0,22,0,1,0,0,0,0,1,21.0,21.0,2.8%,2010,13,te
2,Vernon Davis (FA),4,6,126,31.5,66,0,1,0,0,0,0,1,20.6,20.6,1.6%,2010,13,te
3,Antonio Gates (FA),6,6,73,12.2,24,0,1,0,0,0,0,1,16.3,16.3,0.2%,2010,13,te
4,Jason Witten (FA),5,5,42,8.4,19,0,1,0,0,0,0,1,12.7,12.7,0.0%,2010,13,te
5,Aaron Hernandez (FA),3,5,51,17.0,35,0,1,0,0,0,0,1,12.6,12.6,0.0%,2010,13,te
6,Anthony Fasano (FA),4,6,41,10.3,14,0,1,0,0,0,0,1,12.1,12.1,0.1%,2010,13,te
7,Brandon Manumaleuna (FA),2,2,23,11.5,16,0,1,0,0,0,0,1,9.3,9.3,0.0%,2010,13,te
8,Joel Dreessen (FA),5,8,63,12.6,20,0,0,0,0,0,0,1,8.8,8.8,0.0%,2010,13,te
9,Jimmy Graham (FA),3,3,72,24.0,52,0,0,0,0,0,0,1,8.7,8.7,0.0%,2010,13,te
10,Cameron Morrah (FA),3,4,69,23.0,36,0,0,0,0,0,0,1,8.4,8.4,0.0%,2010,13,te
11,Jermaine Gresham (FA),3,4,43,14.3,23,0,0,0,0,0,0,1,7.8,7.8,0.0%,2010,13,te
12,John Gilmore (FA),2,2,6,3.0,4,0,1,0,0,0,0,1,7.6,7.6,0.0%,2010,13,te
13,Brent Celek (FA),4,7,55,13.8,20,0,0,0,0,0,0,1,7.5,7.5,0.0%,2010,13,te
14,Tony Moeaki (FA),4,7,54,13.5,21,0,0,0,0,0,0,1,7.4,7.4,0.0%,2010,13,te
15,Chris Cooley (FA),6,12,61,10.2,21,0,0,0,0,0,1,1,7.1,7.1,0.0%,2010,13,te
16,Jared Cook (FA),4,6,47,11.8,18,0,0,0,0,0,0,1,6.7,6.7,0.0%,2010,13,te
17,Leonard Pope (FA),1,1,2,2.0,2,0,1,0,0,0,0,1,6.7,6.7,0.0%,2010,13,te
18,Jacob Tamme (FA),4,7,47,11.8,26,0,0,0,0,0,0,1,6.7,6.7,0.0%,2010,13,te
19,Brandon Pettigrew (FA),5,9,36,7.2,14,0,0,0,0,0,0,1,6.1,6.1,0.0%,2010,13,te
20,Zach Miller (FA),3,3,34,11.3,18,0,0,2,9,0,0,1,5.8,5.8,0.0%,2010,13,te
21,Tony Gonzalez (FA),3,5,38,12.7,17,0,0,0,0,0,0,1,5.3,5.3,0.0%,2010,13,te
22,David Johnson (FA),3,3,37,12.3,25,0,0,0,0,0,0,1,5.2,5.2,0.0%,2010,13,te
23,Marcedes Lewis (CHI),3,4,36,12.0,20,0,0,0,0,0,0,1,5.1,5.1,0.1%,2010,13,te
24,Billy Bajema (FA),2,4,39,19.5,26,0,0,0,0,0,0,1,4.9,4.9,0.0%,2010,13,te
25,Dustin Keller (FA),3,4,27,9.0,15,0,0,0,0,0,0,1,4.2,4.2,0.0%,2010,13,te
26,Kellen Winslow (FA),3,4,26,8.7,10,0,0,0,0,0,0,1,4.1,4.1,0.0%,2010,13,te
27,Dante Rosario (FA),3,5,26,8.7,21,0,0,0,0,0,0,1,4.1,4.1,0.0%,2010,13,te
28,Jimmy Kleinsasser (FA),3,3,25,8.3,12,0,0,0,0,0,0,1,4.0,4.0,0.0%,2010,13,te
29,Martellus Bennett (FA),3,3,24,8.0,11,0,0,0,0,0,0,1,3.9,3.9,23.0%,2010,13,te
30,Kevin Boss (FA),2,3,28,14.0,21,0,0,0,0,0,0,1,3.8,3.8,0.0%,2010,13,te
31,Jeremy Shockey (FA),2,3,28,14.0,18,0,0,0,0,0,0,1,3.8,3.8,0.0%,2010,13,te
32,Ed Dickson (FA),3,7,21,7.0,11,0,0,0,0,0,0,1,3.6,3.6,0.0%,2010,13,te
33,Delanie Walker (FA),2,3,19,9.5,15,0,0,1,5,0,0,1,3.4,3.4,0.1%,2010,13,te
34,Daniel Fells (FA),3,4,18,6.0,9,0,0,0,0,0,0,1,3.3,3.3,0.0%,2010,13,te
35,Bear Pascoe (FA),2,3,21,10.5,12,0,0,0,0,0,0,1,3.1,3.1,0.0%,2010,13,te
36,Mike Sellers (FA),2,3,17,8.5,10,0,0,0,0,0,0,1,2.7,2.7,0.0%,2010,13,te
37,Visanthe Shiancoe (FA),2,3,17,8.5,15,0,0,0,0,0,0,1,2.7,2.7,0.0%,2010,13,te
38,Craig Stevens (FA),1,3,19,19.0,19,0,0,0,0,0,0,1,2.4,2.4,0.0%,2010,13,te
39,Fred Davis (FA),1,1,18,18.0,18,0,0,0,0,0,0,1,2.3,2.3,0.0%,2010,13,te
40,Tony Scheffler (FA),2,2,9,4.5,6,0,0,0,0,0,0,1,1.9,1.9,0.0%,2010,13,te
41,Rob Gronkowski (FA),1,2,12,12.0,12,0,0,0,0,0,0,1,1.7,1.7,1.5%,2010,13,te
42,Ryan Purvis (FA),1,2,10,10.0,10,0,0,0,0,0,0,1,1.5,1.5,0.0%,2010,13,te
43,Logan Paulsen (FA),1,1,9,9.0,9,0,0,0,0,0,0,1,1.4,1.4,0.0%,2010,13,te
44,Heath Miller (FA),1,4,9,9.0,9,0,0,0,0,0,0,1,1.4,1.4,0.0%,2010,13,te
45,Randy McMichael (FA),1,1,9,9.0,9,0,0,0,0,0,0,1,1.4,1.4,0.0%,2010,13,te
46,Dan Gronkowski (FA),1,1,9,9.0,9,0,0,0,0,0,0,1,1.4,1.4,0.0%,2010,13,te
47,James Casey (FA),1,3,8,8.0,8,0,0,0,0,0,0,1,1.3,1.3,0.0%,2010,13,te
48,Brody Eldridge (FA),1,1,8,8.0,8,0,0,0,0,0,0,1,1.3,1.3,0.0%,2010,13,te
49,Bo Scaife (FA),1,4,7,7.0,7,0,0,0,0,0,0,1,1.2,1.2,0.0%,2010,13,te
50,Jim Dray (FA),1,1,6,6.0,6,0,0,0,0,0,0,1,1.1,1.1,0.0%,2010,13,te
51,Zach Miller (FA),1,1,5,5.0,5,0,0,0,0,0,0,1,1.0,1.0,0.0%,2010,13,te
52,Will Heller (FA),1,1,5,5.0,5,0,0,0,0,0,0,1,1.0,1.0,0.0%,2010,13,te
53,Greg Olsen (FA),1,1,5,5.0,5,0,0,0,0,0,0,1,1.0,1.0,7.0%,2010,13,te
54,Andrew Quarless (FA),1,2,4,4.0,4,0,0,0,0,0,0,1,0.9,0.9,0.0%,2010,13,te
55,Jeff King (FA),1,2,2,2.0,2,0,0,0,0,0,0,1,0.7,0.7,0.0%,2010,13,te
56,David Martin (FA),1,1,0,0.0,0,0,0,0,0,0,0,1,0.5,0.5,0.0%,2010,13,te
57,Reggie Kelly (FA),0,0,0,0.0,0,0,0,0,0,0,0,1,0.0,0.0,0.0%,2010,13,te
58,Kris Wilson (FA),0,0,0,0.0,0,0,0,0,0,0,0,1,0.0,0.0,0.0%,2010,13,te
59,Justin Peelle (FA),0,1,0,0.0,0,0,0,0,0,0,0,1,0.0,0.0,0.0%,2010,13,te
60,Kellen Davis (FA),0,0,0,0.0,0,0,0,0,0,0,0,1,0.0,0.0,0.2%,2010,13,te
61,Kory Sperry (FA),0,0,0,0.0,0,0,0,0,0,0,0,1,0.0,0.0,0.0%,2010,13,te
62,Mike Leach (FA),0,0,0,0.0,0,0,0,0,0,0,0,1,0.0,0.0,0.0%,2010,13,te
63,Richard Quinn (FA),0,0,0,0.0,0,0,0,0,0,0,0,1,0.0,0.0,0.0%,2010,13,te
64,Stephen Spach (FA),0,1,0,0.0,0,0,0,0,0,0,0,1,0.0,0.0,0.0%,2010,13,te
65,Todd Heap (FA),0,1,0,0.0,0,0,0,0,0,0,0,1,0.0,0.0,0.0%,2010,13,te
66,Ben Hartsock (FA),0,0,0,0.0,0,0,0,0,0,0,0,1,0.0,0.0,0.0%,2010,13,te
67,Brandon Myers (FA),0,0,0,0.0,0,0,0,0,0,0,0,1,0.0,0.0,0.0%,2010,13,te
68,Brian Jennings (FA),0,0,0,0.0,0,0,0,0,0,0,0,1,0.0,0.0,0.0%,2010,13,te
69,Chase Coffman (FA),0,0,0,0.0,0,0,0,0,0,0,0,1,0.0,0.0,0.0%,2010,13,te
70,Chris Baker (FA),0,0,0,0.0,0,0,0,0,0,0,0,1,0.0,0.0,0.0%,2010,13,te
71,Clark Harris (FA),0,0,0,0.0,0,0,0,0,0,0,0,1,0.0,0.0,0.0%,2010,13,te
72,Donald Lee (FA),0,0,0,0.0,0,0,0,0,0,0,0,1,0.0,0.0,0.0%,2010,13,te
73,Gary Barnidge (FA),0,0,0,0.0,0,0,0,0,0,0,0,1,0.0,0.0,0.1%,2010,13,te
74,David Thomas (FA),0,1,0,0.0,0,0,0,0,0,0,0,1,0.0,0.0,0.0%,2010,13,te
75,Daniel Graham (FA),0,1,0,0.0,0,0,0,0,0,0,0,1,0.0,0.0,0.0%,2010,13,te
76,Jeron Mastrud (FA),0,0,0,0.0,0,0,0,0,0,0,0,1,0.0,0.0,0.0%,2010,13,te
77,Garrett Graham (FA),0,0,0,0.0,0,0,0,0,0,0,0,1,0.0,0.0,0.0%,2010,13,te
78,Travis Beckum (FA),0,0,0,0.0,0,0,0,0,0,0,0,1,0.0,0.0,0.0%,2010,13,te
79,Zach Potter (FA),0,1,0,0.0,0,0,0,0,0,0,0,1,0.0,0.0,0.0%,2010,13,te
80,Dennis Pitta (FA),0,1,0,0.0,0,0,0,0,0,0,0,1,0.0,0.0,0.0%,2010,13,te
81,Clay Harbor (FA),0,0,0,0.0,0,0,0,0,0,0,0,1,0.0,0.0,0.0%,2010,13,te
82,Michael Palmer (FA),0,0,0,0.0,0,0,0,0,0,0,0,1,0.0,0.0,0.0%,2010,13,te
83,Tom Crabtree (FA),0,0,0,0.0,0,0,0,0,0,0,0,1,0.0,0.0,0.0%,2010,13,te
84,Nate Byham (FA),0,0,0,0.0,0,0,0,0,0,0,0,1,0.0,0.0,0.0%,2010,13,te
1,Jason Witten (FA),7,7,69,9.9,22,0,2,0,0,0,0,1,22.4,22.4,0.0%,2010,14,te
2,Bo Scaife (FA),4,4,20,5.0,8,0,2,0,0,0,0,1,16.0,16.0,0.0%,2010,14,te
3,Vernon Davis (FA),5,7,70,14.0,42,0,1,0,0,0,0,1,15.5,15.5,1.6%,2010,14,te
4,Marcedes Lewis (CHI),4,4,57,14.3,20,0,1,0,0,0,0,1,13.7,13.7,0.1%,2010,14,te
5,Rob Gronkowski (FA),5,6,43,8.6,15,0,1,0,0,0,0,1,12.8,12.8,1.5%,2010,14,te
6,Kellen Winslow (FA),2,4,52,26.0,41,0,1,0,0,0,0,1,12.2,12.2,0.0%,2010,14,te
7,Owen Daniels (FA),5,11,91,18.2,30,0,0,0,0,0,0,1,11.6,11.6,0.0%,2010,14,te
8,Tony Gonzalez (FA),4,7,28,7.0,11,0,1,0,0,0,0,1,10.8,10.8,0.0%,2010,14,te
9,Kevin Boss (FA),4,9,23,5.8,7,0,1,0,0,0,0,1,10.3,10.3,0.0%,2010,14,te
10,Craig Stevens (FA),3,4,20,6.7,7,0,1,0,0,0,0,1,9.5,9.5,0.0%,2010,14,te
11,Zach Miller (FA),4,5,68,17.0,29,0,0,0,0,0,0,1,8.8,8.8,0.0%,2010,14,te
12,Will Heller (FA),1,1,13,13.0,13,0,1,0,0,0,0,1,7.8,7.8,0.0%,2010,14,te
13,Andrew Quarless (FA),5,6,62,12.4,20,0,0,0,0,0,1,1,6.7,6.7,0.0%,2010,14,te
14,Logan Paulsen (FA),1,1,1,1.0,1,0,1,0,0,0,0,1,6.6,6.6,0.0%,2010,14,te
15,Jonathan Stupar (FA),3,3,45,15.0,35,0,0,0,0,0,0,1,6.0,6.0,0.0%,2010,14,te
16,Jacob Tamme (FA),4,5,36,9.0,12,0,0,0,0,0,0,1,5.6,5.6,0.0%,2010,14,te
17,Martellus Bennett (FA),4,5,30,7.5,11,0,0,0,0,0,0,1,5.0,5.0,23.0%,2010,14,te
18,Jeremy Shockey (FA),4,5,29,7.3,9,0,0,0,0,0,0,1,4.9,4.9,0.0%,2010,14,te
19,Dustin Keller (FA),3,12,34,11.3,18,0,0,0,0,0,0,1,4.9,4.9,0.0%,2010,14,te
20,Anthony Fasano (FA),2,2,33,16.5,28,0,0,0,0,0,0,1,4.3,4.3,0.1%,2010,14,te
21,Daniel Fells (FA),3,3,26,8.7,10,0,0,0,0,0,0,1,4.1,4.1,0.0%,2010,14,te
22,Mike Sellers (FA),2,3,28,14.0,25,0,0,0,0,0,0,1,3.8,3.8,0.0%,2010,14,te
23,John Gilmore (FA),2,2,27,13.5,15,0,0,0,0,0,0,1,3.7,3.7,0.0%,2010,14,te
24,Randy McMichael (FA),2,2,26,13.0,15,0,0,0,0,0,0,1,3.6,3.6,0.0%,2010,14,te
25,Reggie Kelly (FA),4,6,15,3.8,5,0,0,0,0,0,0,1,3.5,3.5,0.0%,2010,14,te
26,Chris Cooley (FA),2,4,22,11.0,15,0,0,0,0,0,0,1,3.2,3.2,0.0%,2010,14,te
27,Bear Pascoe (FA),2,2,21,10.5,11,0,0,0,0,0,0,1,3.1,3.1,0.0%,2010,14,te
28,Aaron Hernandez (FA),2,4,19,9.5,14,0,0,0,0,0,0,1,2.9,2.9,0.0%,2010,14,te
29,Jimmy Graham (FA),1,1,21,21.0,21,0,0,0,0,0,0,1,2.6,2.6,0.0%,2010,14,te
30,Brandon Pettigrew (FA),2,3,14,7.0,11,0,0,0,0,0,0,1,2.4,2.4,0.0%,2010,14,te
31,Tony Moeaki (FA),2,2,13,6.5,8,0,0,0,0,0,0,1,2.3,2.3,0.0%,2010,14,te
32,Chris Baker (FA),1,2,15,15.0,15,0,0,0,0,0,0,1,2.0,2.0,0.0%,2010,14,te
33,David Martin (FA),1,1,13,13.0,13,0,0,0,0,0,0,1,1.8,1.8,0.0%,2010,14,te
34,Stephen Spach (FA),1,1,9,9.0,9,0,0,0,0,0,0,1,1.4,1.4,0.0%,2010,14,te
35,Jared Cook (FA),1,1,9,9.0,9,0,0,0,0,0,0,1,1.4,1.4,0.0%,2010,14,te
36,Brody Eldridge (FA),1,2,8,8.0,8,0,0,0,0,0,0,1,1.3,1.3,0.0%,2010,14,te
37,Benjamin Watson (FA),1,1,8,8.0,8,0,0,0,0,0,0,1,1.3,1.3,2.8%,2010,14,te
38,Cameron Morrah (FA),1,2,8,8.0,8,0,0,0,0,0,0,1,1.3,1.3,0.0%,2010,14,te
39,Visanthe Shiancoe (FA),1,4,7,7.0,7,0,0,0,0,0,0,1,1.2,1.2,0.0%,2010,14,te
40,Ed Dickson (FA),1,1,7,7.0,7,0,0,0,0,0,0,1,1.2,1.2,0.0%,2010,14,te
41,Delanie Walker (FA),1,3,7,7.0,7,0,0,0,0,0,0,1,1.2,1.2,0.1%,2010,14,te
42,Greg Olsen (FA),1,1,6,6.0,6,0,0,0,0,0,0,1,1.1,1.1,7.0%,2010,14,te
43,Jimmy Kleinsasser (FA),1,1,6,6.0,6,0,0,0,0,0,0,1,1.1,1.1,0.0%,2010,14,te
44,Dante Rosario (FA),1,2,4,4.0,4,0,0,0,0,0,0,1,0.9,0.9,0.0%,2010,14,te
45,David Thomas (FA),1,1,4,4.0,4,0,0,0,0,0,0,1,0.9,0.9,0.0%,2010,14,te
46,Matt Spaeth (FA),1,3,4,4.0,4,0,0,0,0,0,0,1,0.9,0.9,0.0%,2010,14,te
47,Tony Scheffler (FA),1,2,3,3.0,3,0,0,0,0,0,0,1,0.8,0.8,0.0%,2010,14,te
48,Daniel Graham (FA),1,5,3,3.0,3,0,0,0,0,0,0,1,0.8,0.8,0.0%,2010,14,te
49,Brandon Myers (FA),1,1,0,0.0,0,0,0,0,0,0,0,1,0.5,0.5,0.0%,2010,14,te
50,Billy Bajema (FA),1,1,0,0.0,0,0,0,0,0,0,0,1,0.5,0.5,0.0%,2010,14,te
51,Leonard Pope (FA),1,2,-2,-2.0,0,0,0,0,0,0,0,1,0.3,0.3,0.0%,2010,14,te
52,James Casey (FA),0,0,0,0.0,0,0,0,0,0,0,0,1,0.0,0.0,0.0%,2010,14,te
53,Jeff King (FA),0,0,0,0.0,0,0,0,0,0,0,0,1,0.0,0.0,0.0%,2010,14,te
54,Joel Dreessen (FA),0,3,0,0.0,0,0,0,0,0,0,0,1,0.0,0.0,0.0%,2010,14,te
55,John Carlson (FA),0,0,0,0.0,0,0,0,0,0,0,0,1,0.0,0.0,0.0%,2010,14,te
56,Kellen Davis (FA),0,0,0,0.0,0,0,0,0,0,0,0,1,0.0,0.0,0.2%,2010,14,te
57,Kory Sperry (FA),0,0,0,0.0,0,0,0,0,0,0,0,1,0.0,0.0,0.0%,2010,14,te
58,Kris Wilson (FA),0,0,0,0.0,0,0,0,0,0,0,0,1,0.0,0.0,0.0%,2010,14,te
59,Maurice Stovall (FA),0,0,0,0.0,0,0,0,0,0,0,0,1,0.0,0.0,0.0%,2010,14,te
60,Mike Leach (FA),0,0,0,0.0,0,0,0,0,0,0,0,1,0.0,0.0,0.0%,2010,14,te
61,Richard Quinn (FA),0,0,0,0.0,0,0,0,0,0,0,0,1,0.0,0.0,0.0%,2010,14,te
62,Robert Royal (FA),0,1,0,0.0,0,0,0,0,0,0,0,1,0.0,0.0,0.0%,2010,14,te
63,Clark Harris (FA),0,0,0,0.0,0,0,0,0,0,0,0,1,0.0,0.0,0.0%,2010,14,te
64,Ben Hartsock (FA),0,0,0,0.0,0,0,0,0,0,0,0,1,0.0,0.0,0.0%,2010,14,te
65,Brandon Manumaleuna (FA),0,1,0,0.0,0,0,0,0,0,0,0,1,0.0,0.0,0.0%,2010,14,te
66,Brent Celek (FA),0,2,0,0.0,0,0,0,0,0,0,0,1,0.0,0.0,0.0%,2010,14,te
67,Brian Jennings (FA),0,0,0,0.0,0,0,0,0,0,0,0,1,0.0,0.0,0.0%,2010,14,te
68,Chase Coffman (FA),0,0,0,0.0,0,0,0,0,0,0,0,1,0.0,0.0,0.0%,2010,14,te
69,Gijon Robinson (FA),0,0,0,0.0,0,0,0,0,0,0,0,1,0.0,0.0,0.0%,2010,14,te
70,Gary Barnidge (FA),0,1,0,0.0,0,0,0,0,0,0,0,1,0.0,0.0,0.1%,2010,14,te
71,Fred Davis (FA),1,2,-5,-5.0,0,0,0,0,0,0,0,1,0.0,0.0,0.0%,2010,14,te
72,David Johnson (FA),0,0,0,0.0,0,0,0,0,0,0,0,1,0.0,0.0,0.0%,2010,14,te
73,Jeron Mastrud (FA),0,0,0,0.0,0,0,0,0,0,0,0,1,0.0,0.0,0.0%,2010,14,te
74,Travis Beckum (FA),0,0,0,0.0,0,0,0,0,0,0,0,1,0.0,0.0,0.0%,2010,14,te
75,Zach Miller (FA),0,1,0,0.0,0,0,0,0,0,0,0,1,0.0,0.0,0.0%,2010,14,te
76,Zach Potter (FA),0,0,0,0.0,0,0,0,0,0,0,0,1,0.0,0.0,0.0%,2010,14,te
77,Jermaine Gresham (FA),0,1,0,0.0,0,0,0,0,0,0,0,1,0.0,0.0,0.0%,2010,14,te
78,Dennis Pitta (FA),0,0,0,0.0,0,0,0,0,0,0,0,1,0.0,0.0,0.0%,2010,14,te
79,Scott Chandler (FA),0,1,0,0.0,0,0,0,0,0,0,0,1,0.0,0.0,0.0%,2010,14,te
80,Tom Crabtree (FA),0,0,0,0.0,0,0,0,0,0,0,0,1,0.0,0.0,0.0%,2010,14,te
81,Nate Byham (FA),0,0,0,0.0,0,0,0,0,0,0,0,1,0.0,0.0,0.0%,2010,14,te
82,Clay Harbor (FA),0,0,0,0.0,0,0,0,0,0,0,0,1,0.0,0.0,0.0%,2010,14,te
83,Michael Palmer (FA),0,0,0,0.0,0,0,0,0,0,0,0,1,0.0,0.0,0.0%,2010,14,te
84,Jim Dray (FA),0,3,0,0.0,0,0,0,0,0,0,0,1,0.0,0.0,0.0%,2010,14,te
85,Alge Crumpler (FA),0,0,0,0.0,0,0,0,0,0,0,0,1,0.0,0.0,0.0%,2010,14,te
1,Jason Witten (FA),10,12,140,14.0,33,0,1,0,0,0,0,1,25.0,25.0,0.0%,2010,15,te
2,Tim Tebow (FA),0,0,0,0.0,0,0,0,8,78,1,0,1,23.3,23.3,0.5%,2010,15,te
3,Aaron Hernandez (FA),4,5,31,7.8,13,0,2,1,16,0,0,1,18.7,18.7,0.0%,2010,15,te
4,Jimmy Graham (FA),5,7,29,5.8,18,0,2,0,0,0,0,1,17.4,17.4,0.0%,2010,15,te
5,Chris Cooley (FA),5,7,62,12.4,27,0,1,0,0,0,0,1,16.7,16.7,0.0%,2010,15,te
6,Brent Celek (FA),2,3,72,36.0,65,0,1,0,0,0,0,1,14.2,14.2,0.0%,2010,15,te
7,Kevin Boss (FA),3,6,59,19.7,36,0,1,0,0,0,0,1,13.4,13.4,0.0%,2010,15,te
8,Benjamin Watson (FA),7,7,92,13.1,24,0,0,0,0,0,0,1,12.7,12.7,2.8%,2010,15,te
9,Ed Dickson (FA),2,2,33,16.5,34,0,1,0,0,0,0,1,10.3,10.3,0.0%,2010,15,te
10,Matt Spaeth (FA),3,8,27,9.0,13,0,1,0,0,0,0,1,10.2,10.2,0.0%,2010,15,te
11,Robert Royal (FA),2,2,29,14.5,20,0,1,0,0,0,0,1,9.9,9.9,0.0%,2010,15,te
12,Marcedes Lewis (CHI),6,7,63,10.5,25,0,0,0,0,0,0,1,9.3,9.3,0.1%,2010,15,te
13,Jeff King (FA),1,1,16,16.0,16,0,1,0,0,0,0,1,8.1,8.1,0.0%,2010,15,te
14,Randy McMichael (FA),5,5,55,11.0,22,0,0,0,0,0,0,1,8.0,8.0,0.0%,2010,15,te
15,Visanthe Shiancoe (FA),6,9,41,6.8,11,0,0,0,0,0,0,1,7.1,7.1,0.0%,2010,15,te
16,Jacob Tamme (FA),7,7,34,4.9,9,0,0,0,0,0,0,1,6.9,6.9,0.0%,2010,15,te
17,Daniel Fells (FA),4,8,47,11.8,25,0,0,0,0,0,0,1,6.7,6.7,0.0%,2010,15,te
18,Leonard Pope (FA),1,1,2,2.0,2,0,1,0,0,0,0,1,6.7,6.7,0.0%,2010,15,te
19,Kellen Winslow (FA),4,6,46,11.5,15,0,0,0,0,0,0,1,6.6,6.6,0.0%,2010,15,te
20,Owen Daniels (FA),4,7,45,11.3,23,0,0,0,0,0,0,1,6.5,6.5,0.0%,2010,15,te
21,Zach Miller (FA),4,7,39,9.8,27,0,0,0,0,0,0,1,5.9,5.9,0.0%,2010,15,te
22,Jared Cook (FA),3,3,42,14.0,27,0,0,0,0,0,0,1,5.7,5.7,0.0%,2010,15,te
23,Joel Dreessen (FA),4,5,36,9.0,14,0,0,0,0,0,0,1,5.6,5.6,0.0%,2010,15,te
24,Mike Sellers (FA),1,3,27,27.0,27,0,0,0,0,0,0,1,5.2,5.2,0.0%,2010,15,te
25,Greg Olsen (FA),4,4,28,7.0,11,0,0,0,0,0,0,1,4.8,4.8,7.0%,2010,15,te
26,Tony Gonzalez (FA),4,8,26,6.5,9,0,0,0,0,0,0,1,4.6,4.6,0.0%,2010,15,te
27,Anthony Fasano (FA),3,5,30,10.0,16,0,0,0,0,0,0,1,4.5,4.5,0.1%,2010,15,te
28,Jeremy Shockey (FA),3,6,25,8.3,10,0,0,0,0,0,0,1,4.0,4.0,0.0%,2010,15,te
29,Tony Moeaki (FA),3,4,25,8.3,12,0,0,0,0,0,0,1,4.0,4.0,0.0%,2010,15,te
30,Kory Sperry (FA),1,1,35,35.0,35,0,0,0,0,0,0,1,4.0,4.0,0.0%,2010,15,te
31,John Carlson (FA),1,1,31,31.0,31,0,0,0,0,0,0,1,3.6,3.6,0.0%,2010,15,te
32,Brandon Pettigrew (FA),2,3,25,12.5,13,0,0,0,0,0,0,1,3.5,3.5,0.0%,2010,15,te
33,Dustin Keller (FA),3,4,19,6.3,11,0,0,0,0,0,0,1,3.4,3.4,0.0%,2010,15,te
34,Tony Scheffler (FA),3,4,18,6.0,12,0,0,0,0,0,0,1,3.3,3.3,0.0%,2010,15,te
35,Rob Gronkowski (FA),1,2,25,25.0,25,0,0,0,0,0,0,1,3.0,3.0,1.5%,2010,15,te
36,Delanie Walker (FA),3,5,14,4.7,6,0,0,0,0,0,0,1,2.9,2.9,0.1%,2010,15,te
37,Cameron Morrah (FA),2,2,14,7.0,9,0,0,0,0,0,0,1,2.4,2.4,0.0%,2010,15,te
38,Andrew Quarless (FA),2,4,12,6.0,10,0,0,0,0,0,0,1,2.2,2.2,0.0%,2010,15,te
39,Justin Peelle (FA),1,1,10,10.0,10,0,0,0,0,0,0,1,1.5,1.5,0.0%,2010,15,te
40,Richard Quinn (FA),1,1,9,9.0,9,0,0,0,0,0,0,1,1.4,1.4,0.0%,2010,15,te
41,Dante Rosario (FA),1,1,9,9.0,9,0,0,0,0,0,0,1,1.4,1.4,0.0%,2010,15,te
42,John Gilmore (FA),1,2,9,9.0,9,0,0,0,0,0,0,1,1.4,1.4,0.0%,2010,15,te
