time/total_timesteps,params/n_steps,params/batch_size,params/sde_sample_freq,params/clip_range_vf,params/clip_range,rollout/ep_len_mean,time/fps,params/device,rollout/ep_rew_mean,params/normalize_advantage,params/seed,params/ent_coef,params/n_epochs,params/gae_lambda,params/learning_rate,params/policy,params/verbose,time/iterations,time/time_elapsed,params/max_grad_norm,params/target_kl,params/policy_kwargs,params/_init_setup_model,params/gamma,params/vf_coef,params/stats_window_size,params/use_sde,train/entropy_loss,train/policy_gradient_loss,train/learning_rate,train/n_updates,train/clip_fraction,train/loss,train/approx_kl,train/explained_variance,train/clip_range,train/value_loss,mean_reward,eval/mean_reward,eval/mean_ep_length
4680,,,,,,15.0,13,,-0.31436722,,,,,,,,,78,345,,,,,,,,,-1.6580905199050904,-0.0036191393328934398,9.98845e-05,1155,0.006666667014360428,0.06112579256296158,0.0034762989,-0.34702372550964355,0.2,0.3776920219262441,,,
4740,,,,,,15.0,13,,-0.29939028000000006,,,,,,,,,79,350,,,,,,,,,-1.6445709864298503,-0.018986571141415175,9.9883e-05,1170,0.006666666890184084,-0.008721202611923218,0.008324978,0.0490649938583374,0.2,0.20630203584829968,,,
4800,,,,,,15.0,13,,-0.29864303,,,,,,,,,80,354,,,,,,,,,-1.5953661759694417,-0.004754629261765804,9.98815e-05,1185,0.027777778853972753,0.049144648015499115,0.0037575355,0.07418960332870483,0.2,0.25881719092528027,,,
4860,,,,,,15.0,13,,-0.25653385999999995,,,,,,,,,81,358,,,,,,,,,-1.6057746410369873,-0.016071625237042753,9.988e-05,1200,0.02444444571932157,0.0009725615382194519,0.010967127,0.07923942804336548,0.2,0.2060561070839564,,,
4920,,,,,,15.0,13,,-0.25676953,,,,,,,,,82,363,,,,,,,,,-1.6240613381067912,0.00022757258279095064,9.98785e-05,1215,0.0,-0.023158783093094826,0.0021324197,-7.129018783569336,0.2,0.31052481904625895,,,
4980,,,,,,15.0,13,,-0.27151844,,,,,,,,,83,367,,,,,,,,,-1.6311896006266275,-0.0017430788145591217,9.9877e-05,1230,0.0,0.0404646173119545,0.00052685343,0.1756698489189148,0.2,0.31277918914953867,,,
5000,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.6208152135213216,-0.012344166626377273,9.987550000000001e-05,1245,0.01888888974984487,-0.06696003675460815,0.009225871,0.6072840094566345,0.2,0.06367602792258063,,-0.8408334918320179,15.0
5040,,,,,,15.05,13,,-0.25568961,,,,,,,,,84,376,,,,,,,,,,,,,,,,,,,-0.01202998,,
5100,,,,,,15.05,13,,-0.25577949999999994,,,,,,,,,85,381,,,,,,,,,-1.5859542687733967,-0.029638492164926453,9.987400000000001e-05,1260,0.08000000305473805,-0.017187565565109253,0.016975949,-0.1391925811767578,0.2,0.1951860308647156,,,
5160,,,,,,15.05,13,,-0.22839590999999998,,,,,,,,,86,385,,,,,,,,,-1.57997354666392,-0.0218068363662395,9.98725e-05,1275,0.033333334450920425,-0.009703144431114197,0.0073975264,0.08617079257965088,0.2,0.1694550742705663,,,
5220,,,,,,15.05,13,,-0.19804451000000003,,,,,,,,,87,389,,,,,,,,,-1.5867997487386067,-0.004245509102733654,9.9871e-05,1290,0.0033333333830038708,0.04732050746679306,0.0042500673,-0.08141064643859863,0.2,0.2549258232116699,,,
5280,,,,,,15.05,13,,-0.19694523999999997,,,,,,,,,88,394,,,,,,,,,-1.5604209264119466,-0.010310635238678856,9.98695e-05,1305,0.022222222636143367,0.0015343353152275085,0.00876559,-0.11782801151275635,0.2,0.17749134004116057,,,
5340,,,,,,15.05,13,,-0.19792722000000001,,,,,,,,,89,398,,,,,,,,,-1.5938459952672324,-0.02283198121314243,9.9868e-05,1320,0.03666666746139526,-0.04072209820151329,0.00877676,0.02340918779373169,0.2,0.28303090830643973,,,
5400,,,,,,15.05,13,,-0.22627743000000003,,,,,,,,,90,402,,,,,,,,,-1.5853444635868073,-0.029263213323429182,9.98665e-05,1335,0.05208333465270698,-0.00865219533443451,0.015597088,0.1387140154838562,0.2,0.18212862499058247,,,
5460,,,,,,15.05,13,,-0.24011790000000002,,,,,,,,,91,406,,,,,,,,,-1.566423225402832,-0.009013579451841261,9.986500000000001e-05,1350,0.03888889042039712,-0.06599486619234085,0.005937052,0.835128664970398,0.2,0.01467462048555414,,,
5520,,,,,,15.05,13,,-0.25503166,,,,,,,,,92,411,,,,,,,,,-1.5745397726694743,-0.01152620060265903,9.986350000000001e-05,1365,0.03777777912716071,-0.07472341507673264,0.005322187,0.5142274796962738,0.2,0.004792840251078208,,,
5580,,,,,,15.05,13,,-0.25503491000000006,,,,,,,,,93,415,,,,,,,,,-1.6001143058141072,-0.017019926398707953,9.986200000000001e-05,1380,0.05444444566965103,-0.08586525171995163,0.014892877,0.8378545045852661,0.2,0.0015442273734758297,,,
5640,,,,,,15.05,13,,-0.22766837000000006,,,,,,,,,94,419,,,,,,,,,-1.6632943550745647,-0.010956155856191726,9.98605e-05,1395,0.006666667014360428,0.01405072957277298,0.00853747,-0.043833136558532715,0.2,0.2010963261127472,,,
